number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
42,AER4,R1,Rep4,sand,Munzungu_munemari,G8,4,29,0.23,0.26,55.9789,-3.78,3.74,4.0762,16.98,21.86,11.42,-1.366,931.5537,43.45,0.57,61.22,0.09
43,AER4,R1,Rep4,sand,Chizambia,G3,5,34,0.18,0.22,71.0361,-1.09,9.53,4.4686,20.93,25.36,16.79,-4.3802,947.0182,36.48,0.53,58.34,0.14
44,AER4,R1,Rep4,sand,Chigunwe,G2,4,35,0.25,0.29,64.1227,-4.13,4.71,4.5152,20.09,25.39,13.78,-1.9263,1130.089,45.46,0.56,60.95,0.12
45,AER4,R1,Rep4,sand,Bobwhite,G1,6,37.8,0.22,0.26,56.8029,-4.02,4.1,4.5236,18.43,23.56,13.64,-1.6566,1147.6131,44.81,0.56,61.26,0.1
46,AER4,R1,Rep4,sand,Guinea_fowl,G4,6,40,0.1,0.12,80.9082,2.45,14.87,5.0934,20.59,24.54,18.93,-7.0672,403.6636,27.19,0.56,60.44,0.14
47,AER4,R1,Rep4,sand,Muromo_wehoto,G10,7,44,0.21,0.26,63.7397,-3.89,4.95,5.3343,19.86,25.05,18.29,-1.954,1135.0568,44.51,0.55,60.66,0.12
48,AER4,R1,Rep4,sand,Kabhutsu,G5,4,56.8,0.25,0.32,54.1249,-5.08,3.57,7.8265,20.65,26.19,21.39,-1.1399,1456.0816,49.28,0.55,60.98,0.12
49,AER4,R1,Rep5,sand,Kasawaya,G6,5,20.5,0.19,0.24,73.0441,-2.36,7.97,1.3582,21.53,26.41,21.05,-3.9527,1012.0985,40.17,0.54,59.5,0.14
50,AER4,R1,Rep5,sand,Natal_common,G11,7,24,0.29,0.33,60.4137,-6.34,1.98,1.3989,21.15,27.19,11.73,-0.6078,1466.0703,54.47,0.57,62.63,0.12
51,AER4,R1,Rep5,sand,Makulu_red,G7,6,24.5,0.24,0.35,58.4703,-4.91,6.91,1.5904,27.7,33.4,32.81,-2.968,1959.9494,48.22,0.53,60.28,0.2
52,AER4,R1,Rep5,sand,Tumbe,G12,4,24.8,0.23,0.25,72.3451,-4.02,4.87,1.7228,20.2,25.3,11.19,-2.2507,1076.3675,45.38,0.54,59.41,0.13
53,AER4,R1,Rep5,sand,Murambatsvina,G9,5,25.4,0.28,0.32,60.8136,-5.68,2.59,1.8834,20.61,26.01,14.44,-0.9194,1453.5188,52.41,0.53,58.91,0.13
54,AER4,R1,Rep5,sand,Munzungu_munemari,G8,4,29.5,0.28,0.3,67.8857,-4.8,3.98,1.9485,20.76,26.02,8.38,-1.8819,1220.3499,48.53,0.54,59.16,0.13
55,AER4,R1,Rep5,sand,Chizambia,G3,5,34.5,0.29,0.32,68.6624,-4.95,3.29,2.9728,19.76,24.99,8.17,-1.7054,1093.0376,49.4,0.54,59.28,0.12
