"","Genotype","MGIDI"
"1","G8",0.404578889299224
"2","G3",0.453716383576967
"3","G12",0.854257314978935
"4","G2",1.07869459485072
"5","G9",1.16430729468859
"6","G4",1.2637839501703
"7","G11",1.29072086804904
"8","G7",1.29221624449155
"9","G10",1.63642801117409
"10","G6",2.38955832297377
"11","G5",2.65857452026563
"12","G1",3.12750844766208
