,,,Training,,,
Score,4,5,6,7,8,9
4,22,0,0,0,0,0
5,0,85,0,0,0,0
6,0,0,137,0,0,0
7,0,0,0,211,0,0
8,0,0,0,0,41,0
9,0,0,0,0,0,3
,,,Testing,,,
Score,4,5,6,7,8,9
4,6,0,0,0,0,0
5,0,27,0,0,0,0
6,0,0,31,0,0,0
7,0,0,0,71,0,0
8,0,0,0,0,13,0
9,0,0,0,0,0,1
