number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
95,AER3,R3,Rep2,red,Muromo_wehoto,G10,9,62,0,0.11,76.37,6.16,28.83,15.66,40.68,41.38,97.15,-13,2028.97,35.6,0.48,56.55,0.4
96,AER3,R3,Rep2,red,Kabhutsu,G5,7,68,0.01,0.02,98.85,13.62,41.62,18.61,41.96,40.59,72.14,-18.38,1222.14,29.25,0.49,56.56,0.42
97,AER3,R3,Rep3,red,Kasawaya,G6,8,31.8,0.05,0.35,95.1,4.45,43.61,0,16.01,48.21,94,-12.23,273.71,32.45,0.55,59.13,0.09
98,AER3,R3,Rep3,red,Natal_common,G11,9,37,0.1,0.29,56.84,-4.45,4.22,5.96,20.31,25.24,66.23,-2.03,1247.15,47.53,0.52,57.37,0.13
99,AER3,R3,Rep3,red,Makulu_red,G7,8,37.5,0.03,0.21,63.2,8,35.83,6.02,47.12,50.1,88.29,-14.21,0,38.84,0.53,58,0.1
100,AER3,R3,Rep3,red,Tumbe,G12,9,40.5,0.07,0.18,81.73,-1.65,7.56,6.82,18.55,22.88,58.9,-4.4,538.18,36.41,0.53,58.17,0.12
101,AER3,R3,Rep3,red,Murambatsvina,G9,9,41.6,0.05,0.19,0,-1.7,7.45,7.58,18.5,22.78,71.09,0,0,36.68,0.53,57.71,0.12
102,AER3,R3,Rep3,red,Munzungu_munemari,G8,8,44.5,0.14,0.29,65.77,-3.62,5.07,9.29,19.38,24.31,51.54,-2.87,894.6,43.74,0.54,59.31,0.12
103,AER3,R3,Rep3,red,Chizambia,G3,8,52,0,0.05,90.86,-0.3,13.22,9.51,26.03,30.85,91.08,-6.24,1156.74,37.19,0.55,60.75,0.19
104,AER3,R3,Rep3,red,Chigunwe,G2,7,56,0.03,0.05,52.02,14.79,41.03,9.71,47.5,52.77,65.79,16.5,1117.51,65.67,0.52,57.86,0.09
105,AER3,R3,Rep3,red,Bobwhite,G1,9,55.8,0.01,0.01,92.4,-17.78,53.92,12.27,40.97,47.11,61.71,-40,2727.18,55.24,0.52,60.06,0.24
106,AER3,R3,Rep3,red,Guinea_fowl,G4,9,55,0.04,0.08,90.11,12.31,36.76,13.68,40.09,57.66,87.65,-14.37,23.17,26.81,0.54,58.16,0.07
107,AER3,R3,Rep3,red,Muromo_wehoto,G10,9,62.8,0.19,0.32,66.46,-4.41,2.39,16.46,16.3,20.77,41.69,-2.05,661.4,48.29,0.52,56.74,0.09
108,AER3,R3,Rep3,red,Kabhutsu,G5,7,68.9,0.09,0.05,98.44,17.12,41.02,17.26,41.7,27.67,74.11,14.43,1928.32,58.19,0.54,60.44,0.13
109,AER3,R1,Rep4,sand,Kasawaya,G6,7,32,0.07,0.1,85.45,-2.06,9.71,0.587,24.13,29.33,26.44,-4.6763,1139.7491,40.11,0.55,61.2,0.17
110,AER3,R1,Rep4,sand,Natal_common,G11,7,37.8,0.09,0.14,81.6835,-1.82,11.64,0.7992,27.52,32.91,36.12,-5.061,1581.6016,40.71,0.56,62.18,0.2
111,AER3,R1,Rep4,sand,Makulu_red,G7,6,38.4,0.1,0.12,74.4236,-1.12,6.14,0.9314,13.99,17.79,11.1,-3.4428,154.8582,27.43,0.56,60.19,0.07
112,AER3,R1,Rep4,sand,Tumbe,G12,6,41,0.06,0.07,70.6567,0.12,7.04,1.1329,12.17,15.43,14.24,-4.2096,-180.6518,16.5,0.57,60.58,0.05
113,AER3,R1,Rep4,sand,Murambatsvina,G9,9,42,0.16,0.18,77.7205,-1.75,7.11,1.3507,17.66,22.27,14.22,-3.7182,471.8234,35,0.57,61.6,0.1
114,AER3,R1,Rep4,sand,Munzungu_munemari,G8,9,45.6,0.1,0.14,83.7952,-2.46,9.57,1.4391,25.37,30.48,30.09,-4.8327,1310.7994,41.87,0.54,59.77,0.18
115,AER3,R1,Rep4,sand,Chizambia,G3,6,53,0.07,0.1,85.45,-2.06,9.71,1.6212,24.13,29.33,26.44,-4.6763,1139.7491,40.11,0.55,61.2,0.17
116,AER3,R1,Rep4,sand,Chigunwe,G2,5,56.4,0.18,0.2,75.5028,-2.96,4.28,5.3764,15.64,20.09,8.44,-2.9837,332.2797,38.57,0.56,60.57,0.08
117,AER3,R1,Rep4,sand,Bobwhite,G1,9,56.8,0.04,0.1,87.4043,-0.35,13.28,6.6034,26.84,31.17,55.1,-6.3394,1392.2564,38.2,0.52,57.89,0.21
118,AER3,R1,Rep4,sand,Guinea_fowl,G4,3,57,0.06,0.06,72.2501,0.34,7.35,7.2322,12.14,15.35,9.75,-4.4273,-222.3898,15.37,0.58,60.69,0.05
119,AER3,R1,Rep4,sand,Muromo_wehoto,G10,6,63.1,0.08,0.09,72.3583,-0.68,6.1,7.2322,12.67,16.13,11.49,-3.5885,-0.7965,22.15,0.56,59.83,0.05
120,AER3,R1,Rep4,sand,Kabhutsu,G5,8,69,0.15,0.17,83.9222,-1.81,5.9,7.3443,15.6,19.67,10.04,-4.2553,166.9578,33.81,0.55,58.83,0.08
121,AER3,R1,Rep5,sand,Kasawaya,G6,8,32.5,0.16,0.17,73.6871,-2.06,5.14,0.3838,14.72,18.84,6.78,-2.6407,391.5372,33.07,0.56,60.35,0.07
122,AER3,R1,Rep5,sand,Natal_common,G11,7,38,0.09,0.13,85.5597,4.68,19.87,0.6379,24.82,27.66,31.12,-10.634,567.127,28.54,0.5,55.13,0.21
123,AER3,R1,Rep5,sand,Makulu_red,G7,6,39,0.24,0.26,65.7403,-2.24,5.52,0.9314,16.2,20.3,5.78,-2.4145,618.3734,36.82,0.53,57.42,0.09
124,AER3,R1,Rep5,sand,Tumbe,G12,6,41.8,0.12,0.15,83.5613,2.89,16,1.0313,22.59,25.6,23.49,-8.8857,640.2092,29.9,0.49,53.79,0.19
125,AER3,R1,Rep5,sand,Murambatsvina,G9,7,43,0.11,0.14,79.9416,1.14,12.22,1.1232,19.73,23.4,18.38,-6.4845,564.0577,30.12,0.52,56.53,0.14
126,AER3,R1,Rep5,sand,Munzungu_munemari,G8,9,46,0.13,0.16,78.2455,0.53,11.71,1.28,20.5,24.44,20.63,-6.4837,619.9692,32.16,0.52,57.28,0.14
127,AER3,R1,Rep5,sand,Chizambia,G3,6,53.5,0.12,0.14,84.0032,1.93,13.67,1.3507,20.28,23.81,17.59,-7.8359,384.3908,28.96,0.52,56.42,0.15
128,AER3,R1,Rep5,sand,Chigunwe,G2,5,57,0.14,0.15,71.0376,0.61,8.99,1.4761,14.67,18.08,4.63,-4.6663,69.2113,23.38,0.54,58.16,0.08
129,AER3,R1,Rep5,sand,Bobwhite,G1,9,57.9,0.09,0.1,93.7948,2.56,14.54,1.7473,19.57,23.43,7.85,-7.8807,67.0221,25.71,0.56,60.62,0.13
130,AER3,R1,Rep5,sand,Guinea_fowl,G4,9,58,0.04,0.09,91.4131,5.74,25.29,1.9472,33.38,35.42,49.31,-12.2244,1392.8857,32.73,0.49,55.88,0.31
131,AER3,R1,Rep5,sand,Muromo_wehoto,G10,6,63.8,0.08,0.09,72.3583,-0.68,6.1,2.0572,12.67,16.13,11.49,-3.5885,-0.7965,22.15,0.56,59.83,0.05
132,AER3,R1,Rep5,sand,Kabhutsu,G5,8,69.75,0.15,0.17,83.9222,-1.81,5.9,2.2738,15.6,19.67,10.04,-4.2553,166.9578,33.81,0.55,58.83,0.08
133,AER3,R1,Rep6,sand,Kasawaya,G6,7,33,0.07,0.1,85.45,-2.06,9.71,0.587,24.13,29.33,26.44,-4.6763,1139.7491,40.11,0.55,61.2,0.17
134,AER3,R1,Rep6,sand,Natal_common,G11,7,38.7,0.09,0.13,85.5597,4.68,19.87,0.9314,24.82,27.66,31.12,-10.634,567.127,28.54,0.5,55.13,0.21
135,AER3,R1,Rep6,sand,Makulu_red,G7,6,39.4,0.24,0.26,65.7403,-2.24,5.52,1.0313,16.2,20.3,5.78,-2.4145,618.3734,36.82,0.53,57.42,0.09
136,AER3,R1,Rep6,sand,Tumbe,G12,6,42.1,0.12,0.15,83.5613,2.89,16,1.3507,22.59,25.6,23.49,-8.8857,640.2092,29.9,0.49,53.79,0.19
137,AER3,R1,Rep6,sand,Murambatsvina,G9,7,43.5,0.11,0.14,79.9416,1.14,12.22,1.4391,19.73,23.4,18.38,-6.4845,564.0577,30.12,0.52,56.53,0.14
138,AER3,R1,Rep6,sand,Munzungu_munemari,G8,7,46.9,0.13,0.16,78.2455,0.53,11.71,1.4761,20.5,24.44,20.63,-6.4837,619.9692,32.16,0.52,57.28,0.14
139,AER3,R1,Rep6,sand,Chizambia,G3,6,53.5,0.07,0.1,85.45,-2.06,9.71,1.7473,24.13,29.33,26.44,-4.6763,1139.7491,40.11,0.55,61.2,0.17
140,AER3,R1,Rep6,sand,Chigunwe,G2,5,58,0.18,0.2,75.5028,-2.96,4.28,1.9472,15.64,20.09,8.44,-2.9837,332.2797,38.57,0.56,60.57,0.08
141,AER3,R1,Rep6,sand,Bobwhite,G1,8,59,0.04,0.1,87.4043,-0.35,13.28,2.2738,26.84,31.17,55.1,-6.3394,1392.2564,38.2,0.52,57.89,0.21
142,AER3,R1,Rep6,sand,Guinea_fowl,G4,3,59.1,0.06,0.06,72.2501,0.34,7.35,5.3764,12.14,15.35,9.75,-4.4273,-222.3898,15.37,0.58,60.69,0.05
143,AER3,R1,Rep6,sand,Muromo_wehoto,G10,6,64,0.08,0.09,72.3583,-0.68,6.1,7.2322,12.67,16.13,11.49,-3.5885,-0.7965,22.15,0.56,59.83,0.05
144,AER3,R1,Rep6,sand,Kabhutsu,G5,8,70,0.15,0.17,83.9222,-1.81,5.9,7.2322,15.6,19.67,10.04,-4.2553,166.9578,33.81,0.55,58.83,0.08
145,AER3,R2,Rep4,sand,Kasawaya,G6,6,33.6,0.2,0.35,35.4701,-5.18,3.09,2.3303,21.15,24.53,42.83,1.6461,898.5585,52.56,0.41,46.52,0.18
146,AER3,R2,Rep4,sand,Natal_common,G11,7,39,0.29,0.34,47.4012,-8.12,-2.71,2.9077,16.71,22.55,14.69,1.0939,1047.4754,74.59,0.58,63.03,0.07
