number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
1,AER3,R1,Rep1,red,Kasawaya,G6,7,26.98,0.04,0.45,85,10.79,32.64,0.43,23.21,33.01,46.37,-6.9,0,27.59,0.45,51.63,0.34
2,AER3,R1,Rep1,red,Natal_common,G11,7,32.76,0.11,0.12,82.59,8.95,25.03,0.76,20.86,23.31,39.68,-12.43,-385.56,17.11,0.55,59.09,0.16
3,AER3,R1,Rep1,red,Makulu_red,G7,6,33.58,0.05,0.12,45,11.74,35.48,0.89,35.24,35.2,40.96,-10.23,0,27.52,0.48,54.34,0.35
4,AER3,R1,Rep1,red,Tumbe,G12,6,34.96,0.06,0.08,92.35,13.26,38.81,1.02,37.1,36.44,50,-17.81,910.71,27.15,0.48,54.77,0.37
5,AER3,R1,Rep1,red,Murambatsvina,G9,7,35.98,0.12,0.15,81.48,9.54,28.49,1.03,26.59,28.55,17.16,-13.85,231.02,23.2,0.51,56.38,0.23
6,AER3,R1,Rep1,red,Munzungu_munemari,G8,7,39.53,0.06,0.09,90.7,10.85,34.09,1.11,35.57,35.56,37.54,-16.09,1097.96,28.66,0.47,53.97,0.35
7,AER3,R1,Rep1,red,Chizambia,G3,6,47.86,0.09,0.1,88.1,11.11,30.68,1.47,25.18,27.32,12.16,-14.28,-267.72,19.49,0.55,59.31,0.2
8,AER3,R1,Rep1,red,Chigunwe,G2,5,48.52,0.08,0.13,36.06,9.73,32.04,1.53,34.95,35.33,38.04,-15.36,1223.3,29.4,0.47,54.03,0.34
9,AER3,R1,Rep1,red,Bobwhite,G1,9,49.56,0.05,0.08,89.96,-11.2,34.66,2.11,35.04,35.19,44.27,-16.32,975.18,27.83,0.48,54.51,0.34
10,AER3,R1,Rep1,red,Guinea_fowl,G4,6,50.24,0.05,0.06,91.58,11.17,28.81,2.44,21.29,33.31,69.52,-13.81,-644.49,14.84,0.56,59.28,0.16
11,AER3,R1,Rep1,red,Muromo_wehoto,G10,6,58.03,0.11,0.13,81.51,8.89,25.76,8,22.53,25.04,12.54,-12.51,-206.84,19.35,0.55,58.9,0.17
12,AER3,R1,Rep1,red,Kabhutsu,G5,8,65,0.23,0.24,60.82,-4.73,2.23,10,16.69,21.87,40,-0.96,899.99,48.24,0.58,62.94,0.08
13,AER3,R1,Rep2,red,Kasawaya,G6,7,27.98,0.07,0.46,84.61,10.59,28.96,0.66,25.55,26.32,48,-5.11,270.52,21.89,0.46,51.02,0.25
14,AER3,R1,Rep2,red,Natal_common,G11,7,33.76,0.07,0.11,87.82,8.87,29.55,0.91,33.43,33.46,36.11,-14.88,1422.31,29.87,0.44,51.06,0.35
15,AER3,R1,Rep2,red,Makulu_red,G7,6,34.12,0.07,0.11,46,9.02,29.52,1.02,32.62,32.86,38.65,-10.21,0,29.16,0.45,51.38,0.33
16,AER3,R1,Rep2,red,Tumbe,G12,6,35.1,0.05,0.07,91.08,10.43,33.5,1.22,35.28,35.76,55.3,-15.44,1192.9,28.73,0.48,55.16,0.34
17,AER3,R1,Rep2,red,Murambatsvina,G9,7,36.5,0.09,0.14,84.44,6.81,27.07,1.23,34.86,35.5,34.85,-13.29,1797.9,32.74,0.45,52.58,0.35
18,AER3,R1,Rep2,red,Munzungu_munemari,G8,7,40,0.08,0.1,83.51,7.44,23.17,1.27,22.75,24.97,17.23,-11.54,243.47,22.44,0.5,54.76,0.19
19,AER3,R1,Rep2,red,Chizambia,G3,5,48,0.08,0.09,90.24,11.16,30.3,1.69,26.34,27.03,15.56,-15.67,124.14,21.9,0.47,51.61,0.25
20,AER3,R1,Rep2,red,Chigunwe,G2,5,49.2,0.08,0.11,36.24,10.83,29.72,1.7,36.45,37.04,39.28,-15.59,291.19,22.5,0.46,50.83,0.26
21,AER3,R1,Rep2,red,Bobwhite,G1,9,50.1,0.06,0.09,89.96,-9.22,31.06,1.73,34.63,34.69,40.69,-15.1,1436.66,29.84,0.46,52.41,0.35
22,AER3,R1,Rep2,red,Guinea_fowl,G4,6,51,0.06,0.08,91.62,11.23,34.22,2.9,23.64,34.51,69.78,-16.34,1139.98,27.81,0.47,53.25,0.35
23,AER3,R1,Rep2,red,Muromo_wehoto,G10,6,59,0.13,0.17,82.77,8.62,26.71,12,27.46,28.49,23.24,-14.58,596.47,25.99,0.46,51.14,0.27
24,AER3,R1,Rep2,red,Kabhutsu,G5,8,65.2,0.23,0.24,60.82,-4.73,2.23,12.45,16.69,21.87,45.2,-0.96,899.99,48.24,0.58,62.94,0.08
25,AER3,R1,Rep3,red,Kasawaya,G6,7,28,0.09,0.43,84.7,10.65,37.29,0.59,24.35,38.25,51,-4.23,159.83,24.93,0.59,62.14,0.07
26,AER3,R1,Rep3,red,Natal_common,G11,7,34,0.2,0.22,58.55,-3.86,2.6,0.84,14.99,19.42,36.88,-1.15,817.09,43.94,0.55,59.37,0.07
27,AER3,R1,Rep3,red,Makulu_red,G7,6,34.8,0.1,0.12,43.21,10.47,38.2,0.98,36.07,39.93,40.12,-8.45,0,29.41,0.55,58.65,0.09
28,AER3,R1,Rep3,red,Tumbe,G12,6,35.8,0.13,0.14,72.24,-2.23,4.14,1.01,13.45,17.09,57.2,-1.92,500.12,33.74,0.53,56.65,0.06
29,AER3,R1,Rep3,red,Murambatsvina,G9,7,37,0.14,0.15,67.74,-2.46,4.26,1.02,14.24,18.26,5.98,-2,513.07,35.05,0.55,59.18,0.07
30,AER3,R1,Rep3,red,Munzungu_munemari,G8,7,41.5,0.19,0.21,70.1,-3.29,4.8,1.02,17.82,22.46,9.76,-2.28,959.75,42.04,0.54,58.73,0.1
31,AER3,R1,Rep3,red,Chizambia,G3,5,49,0.09,0.1,77.86,0.59,9.08,1.06,14.79,18.33,10.8,-4.54,169.44,23.19,0.56,59.46,0.08
32,AER3,R1,Rep3,red,Chigunwe,G2,5,50,0.07,0.12,36.02,10.1,32.29,1.19,36.66,31.83,36.26,-15,888.66,47.88,0.58,62.99,0.08
33,AER3,R1,Rep3,red,Bobwhite,G1,9,50.8,0.04,0.06,88.1,-12.18,34.29,1.89,33.47,37.31,40.7,-14.34,425.19,32.26,0.55,59.16,0.06
34,AER3,R1,Rep3,red,Guinea_fowl,G4,7,51,0.08,0.09,80.43,10.33,28.05,2.02,23.83,36.95,67.45,-14.25,231.24,23.53,0.52,55.56,0.08
35,AER3,R1,Rep3,red,Muromo_wehoto,G10,5,59.55,0.2,0.22,68.75,-3.41,4.05,10.15,16.49,21.25,8.24,-1.96,709.35,41.15,0.57,61.57,0.08
36,AER3,R1,Rep3,red,Kabhutsu,G5,8,65.4,0.23,0.24,60.82,-4.73,2.23,11,16.69,21.87,48.6,-0.96,899.99,48.24,0.58,62.94,0.08
37,AER3,R2,Rep1,red,Kasawaya,G6,9,28.95,0.04,0.36,88.56,5.65,37.41,0,27.76,40.12,55,-9.26,1016.61,34.5,0.49,55.56,0.24
38,AER3,R2,Rep1,red,Natal_common,G11,7,34.5,0.07,0.26,72.95,3.88,23.68,2.25,37.56,38.75,73.85,-12.25,1946.2,37.18,0.46,54.18,0.37
39,AER3,R2,Rep1,red,Makulu_red,G7,7,35,0.04,0.31,52,16.31,27.13,2.76,35.88,46.15,77.53,-13.87,1419.88,33.43,0.47,54.38,0.35
40,AER3,R2,Rep1,red,Tumbe,G12,7,36,0.06,0.2,78.98,5.48,25.53,2.85,35.69,36.93,72.41,-13.26,1513.19,34.47,0.47,54.2,0.35
41,AER3,R2,Rep1,red,Murambatsvina,G9,7,37.54,0.26,0.3,72.45,0.94,12.65,2.96,21.41,25.08,15.67,-7.76,470.3,32.45,0.51,55.63,0.16
42,AER3,R2,Rep1,red,Munzungu_munemari,G8,7,42,0.29,0.33,72.18,1.11,11.85,7.14,18.96,22.69,13.19,-7.87,60.03,29.09,0.53,57.47,0.13
43,AER3,R2,Rep1,red,Chizambia,G3,6,49.55,0.31,0.35,69.62,0.19,10.03,7.94,18.01,21.9,10.47,-6.9,115.22,30.27,0.54,57.99,0.12
44,AER3,R2,Rep1,red,Chigunwe,G2,5,52.45,0.09,0.19,49.7,12.25,39.24,8.71,43.24,34.97,58.23,-11.09,1806.48,37.79,0.44,51.8,0.33
45,AER3,R2,Rep1,red,Bobwhite,G1,6,51.55,0.03,0.02,88.65,-13.44,42.86,8.76,37.19,38.58,55.1,-18.56,2044.89,37.55,0.46,54.23,0.37
46,AER3,R2,Rep1,red,Guinea_fowl,G4,7,52,0.03,0.02,83.32,7.93,32,8.83,36.77,41.08,74.62,-12.21,1051.19,30.15,0.63,69.28,0.27
47,AER3,R2,Rep1,red,Muromo_wehoto,G10,7,60.1,0.04,0.2,0,5.16,23.97,11.2,34.24,34.88,81.62,0,0,34.63,0.44,50.93,0.35
48,AER3,R2,Rep1,red,Kabhutsu,G5,7,66,0.17,0.2,86.19,5.59,19.15,15.71,20.31,22.9,60.3,-12,-329.85,22.33,0.51,54.96,0.16
49,AER3,R2,Rep2,red,Kasawaya,G6,9,28.99,0.07,0.31,88.75,4.65,32.41,1.54,26.35,42.32,65,-10.21,419.52,43.55,0.55,59.64,0.06
50,AER3,R2,Rep2,red,Natal_common,G11,7,35,0.21,0.3,43.23,-1.2,8.19,2.5,20.31,22.5,29.15,-3.54,406.26,39.76,0.39,44.03,0.19
51,AER3,R2,Rep2,red,Makulu_red,G7,7,35.5,0.06,0.3,53,15.3,26.26,3.14,32.35,46.38,76.65,-13.99,-91.02,22.89,0.56,59.54,0.06
52,AER3,R2,Rep2,red,Tumbe,G12,7,36.89,0.28,0.34,51.4,-5.96,2.93,3.89,23.74,26.82,17.7,2.33,972.11,54.67,0.39,45.21,0.23
53,AER3,R2,Rep2,red,Murambatsvina,G9,8,38,0.28,0.38,56.3,-6.22,1.99,4.34,21.68,25.9,24.1,-2.29,669.52,55.89,0.44,50.15,0.17
54,AER3,R2,Rep2,red,Munzungu_munemari,G8,7,42.8,0.44,0.52,46.97,-9.45,-2.69,5.47,21.4,25.82,15.39,0.8,822.46,71.32,0.41,47.87,0.17
55,AER3,R2,Rep2,red,Chizambia,G3,7,50,0.33,0.36,28.61,-5.06,0.35,6.5,14.56,17.09,8.3,-1.79,90.67,59.01,0.36,40.83,0.11
56,AER3,R2,Rep2,red,Chigunwe,G2,5,53,0.09,0.06,45.32,11.73,38.45,6.77,41.81,38.02,59.41,-15.6,1553.31,40.76,0.44,49.35,0.19
57,AER3,R2,Rep2,red,Bobwhite,G1,7,52,0.02,0.03,90,-13.45,41.68,8.55,33.78,39.39,55.28,-20,0,37.78,0.43,48.49,0.22
58,AER3,R2,Rep2,red,Guinea_fowl,G4,7,53,0.02,0.03,85.01,7.85,37.5,9.34,39.44,42.03,77.13,-12.42,300.56,39.82,0.41,45.73,0.17
59,AER3,R2,Rep2,red,Muromo_wehoto,G10,7,60.8,0.35,0.41,36.75,-5.36,1.91,10,19.02,22.23,16.54,-0.26,439.93,54.79,0.39,44.96,0.16
60,AER3,R2,Rep2,red,Kabhutsu,G5,7,66.5,0.12,0.16,81.95,7.11,22.8,14.38,23.66,25.52,64.6,-13.44,286.88,24.38,0.48,52.29,0.21
61,AER3,R2,Rep3,red,Kasawaya,G6,9,29.5,0.04,0.35,88.61,7.23,39.85,3.61,25.59,45.18,64,-8.21,1503.69,41.92,0.51,56.81,0.2
62,AER3,R2,Rep3,red,Natal_common,G11,7,35.56,0.3,0.5,35.75,-10.16,-1.75,5.53,25.76,32.06,39.98,1.83,2950.14,67.11,0.5,57.7,0.18
63,AER3,R2,Rep3,red,Makulu_red,G7,7,36,0.06,0.39,55,15.07,28.36,6.51,39.45,44.39,75.23,-14.25,0,50.19,0.54,59.23,0.11
64,AER3,R2,Rep3,red,Tumbe,G12,7,38.1,0.29,0.42,48.69,-8.09,-0.38,7.09,22.03,27.42,30.25,0.23,1981.45,63.44,0.49,55.05,0.15
65,AER3,R2,Rep3,red,Murambatsvina,G9,8,39,0.24,0.33,31.97,-5.4,2.01,7.1,18.79,23.2,28.22,0.92,1208.77,53.47,0.47,52.83,0.13
66,AER3,R2,Rep3,red,Munzungu_munemari,G8,7,43,0.37,0.47,48.24,-9.03,-1.63,8.18,22.19,27.98,20.67,1.11,2065.71,67.42,0.5,56.4,0.15
67,AER3,R2,Rep3,red,Chizambia,G3,7,50.9,0.03,0.11,85.9,-0.92,11.59,8.44,25.08,29.43,71.98,-6.03,1261.95,38.67,0.51,57.14,0.19
68,AER3,R2,Rep3,red,Chigunwe,G2,5,54,0.04,0.03,49.58,12.3,33.32,9.56,40.88,40.25,57.97,14.46,1728.54,73.53,0.46,53.03,0.14
69,AER3,R2,Rep3,red,Bobwhite,G1,7,52.7,0.02,0.03,88.13,-15.96,45.12,10.43,38.05,40.75,50.86,-22.75,2395.87,51.97,0.47,54.24,0.23
70,AER3,R2,Rep3,red,Guinea_fowl,G4,8,54,0.04,0.06,90.5,8.15,31.45,12.22,36.65,41.02,71.8,-16.6,1277.45,40.57,0.5,56.8,0.21
71,AER3,R2,Rep3,red,Muromo_wehoto,G10,7,61,0.12,0.28,71.56,-4.97,6.87,13.08,27.87,33.54,57.76,-3.85,1838.61,48.46,0.53,60.05,0.2
72,AER3,R2,Rep3,red,Kabhutsu,G5,7,67,0.15,0.1,79.92,5.22,20.91,14.71,24.87,28.94,66.8,-15.74,1395.57,39.64,0.49,55.19,0.2
73,AER3,R3,Rep1,red,Kasawaya,G6,8,30.5,0.01,0.35,90.1,5.52,40.53,4.17,41.92,42.3,92.85,-10.24,0,33.39,0.5,58.29,0.4
74,AER3,R3,Rep1,red,Natal_common,G11,9,36,0.01,0.1,77.18,7.69,28.65,8.6,35.43,35.69,90.3,-14.31,1427.78,32.12,0.45,52.37,0.36
75,AER3,R3,Rep1,red,Makulu_red,G7,8,36.8,0.01,0.22,60,7.61,30.36,9.5,40.41,45.68,95.47,-13.65,0,34.58,0.44,52.67,0.43
76,AER3,R3,Rep1,red,Tumbe,G12,9,39,0,0.07,86.2,11.72,38.23,10.31,41.03,40.59,93.06,-17.17,1278.62,30.32,0.5,57.27,0.4
77,AER3,R3,Rep1,red,Murambatsvina,G9,7,40,0.02,0.13,72.54,7.67,29.02,12.02,34.11,36.22,84.36,-13.29,1084.58,30.51,0.52,58.27,0.3
78,AER3,R3,Rep1,red,Munzungu_munemari,G8,8,43.5,0.02,0.12,77.96,7.65,30.06,13.84,38.46,38.67,81.68,-15.12,1595.37,33.37,0.47,54.42,0.39
79,AER3,R3,Rep1,red,Chizambia,G3,7,51,0.01,0.12,76.39,8.07,30.95,15.04,38.78,38.97,90.73,-15.39,1525.79,33,0.47,54.92,0.39
80,AER3,R3,Rep1,red,Chigunwe,G2,7,54.9,0.01,0.08,52.97,18.1,41.5,15.26,49.69,51.66,67.96,-15.13,1711.18,33.32,0.47,55,0.4
81,AER3,R3,Rep1,red,Bobwhite,G1,9,53.2,0.01,0.01,93.54,-16.22,53.05,15.65,47.23,40.67,69.44,-30.91,583.75,28.11,0.55,60.09,0.22
82,AER3,R3,Rep1,red,Guinea_fowl,G4,9,54.8,0.01,0.06,93.96,10.75,33,16.16,38.49,53.91,81.58,-17.63,801.03,28.51,0.45,51.19,0.36
83,AER3,R3,Rep1,red,Muromo_wehoto,G10,9,61.8,0.1,0.25,64.56,2.34,16.27,16.34,24.31,28.06,61.22,-8.56,705.92,31.6,0.52,57.62,0.19
84,AER3,R3,Rep1,red,Kabhutsu,G5,7,67.8,0.03,0.07,92.04,11.72,38.32,21.56,39.63,40.58,75.6,-16.3,1004.11,29.12,0.54,60.81,0.36
85,AER3,R3,Rep2,red,Kasawaya,G6,8,31,0.02,0.3,90.3,3.36,45.21,2.19,46.51,44.89,90.6,-12.53,2350.58,36.54,0.52,60.39,0.4
86,AER3,R3,Rep2,red,Natal_common,G11,9,36.5,0,0.08,83.54,7.72,31.88,5.82,41.5,42.04,95.83,-13.61,1994.46,34.21,0.49,57.78,0.4
87,AER3,R3,Rep2,red,Makulu_red,G7,8,37,0.01,0.21,61,7.59,31.45,8.16,40.2,48.31,88.93,-13.57,1730.56,33.53,0.51,59.31,0.37
88,AER3,R3,Rep2,red,Tumbe,G12,8,40.1,0,0.06,96.67,10.22,33.99,8.97,38.95,37.7,94.4,-17.33,1375.83,31.37,0.45,52.19,0.41
89,AER3,R3,Rep2,red,Murambatsvina,G9,9,41,0.01,0.09,84.36,8.95,30.69,9.31,36.88,35.63,94.32,-16.55,1345.14,31.96,0.42,49.69,0.41
90,AER3,R3,Rep2,red,Munzungu_munemari,G8,8,44,0.02,0.11,80.13,8.35,31.25,10.15,38.71,38.62,79.64,-15.82,1513.34,32.82,0.46,54.18,0.39
91,AER3,R3,Rep2,red,Chizambia,G3,7,51.6,0.02,0.12,77.01,8.33,31.21,13.65,38.49,38.58,87,-15.61,1489.44,32.67,0.47,54.56,0.39
92,AER3,R3,Rep2,red,Chigunwe,G2,7,55,0.01,0.07,58.37,14.59,49.96,13.73,44.19,49.27,62.79,-16.6,2319.19,36.39,0.64,72.58,0.33
93,AER3,R3,Rep2,red,Bobwhite,G1,9,54,0.02,0.02,90.91,-18.23,54.36,15.32,40.41,49.3,69.5,-36.33,1644.46,32.16,0.46,53.57,0.42
94,AER3,R3,Rep2,red,Guinea_fowl,G4,9,54.9,0.01,0.03,96.77,12.26,37.85,15.53,39.74,58.17,96.65,-18.11,1249.89,29.75,0.46,53.26,0.42
