Environment,Ward,Replication,Genotype,Genotype,SHW,SP,PY,Biomass,HI,GY, Severity,Class, GGA, Necrosis, a, u, Chlorosis, b, v, CSI
E2,28,3,Natal_common,G11,75,61.53846154,195,616.6666667,0.173493976,120,41.03,,0.236666667,16.14036667,5.313333333,8.120733333,32.6105,61.97,10.47983333,663.7736333
E2,28,3,Tumbe,G12,53,62.93706294,143,866.6666667,0.097861544,90,56.86666667,,0.2,5.387933333,5.026666667,7.8913,24.279,46.98,9.110466667,946.2606667
E2,28,4,Bobwhite,G1,82,18.81188119,101,101,0.103825137,19,46.3,,0.143333333,3.574233333,-12.77666667,14.38876667,31.91543333,44.77,2.277966667,1844.9557
E2,28,4,Chigunwe,G2,12,84,75,450,0.136363636,63,44.73333333,,0.186666667,1.404566667,0.773333333,13.8403,18.17723333,22.48333333,1.767566667,1817.388867
E2,28,4,Chizambia,G3,70,54.83870968,155,155,0.377777778,85,40.81,,0.236666667,26.6913,5.91,12.49916667,21.08906667,26.62333333,6.8563,1074.588133
E2,28,4,Guineafowl,G4,138,21.59090909,176,176,0.121019108,38,52.30333333,,0.136666667,29.48693333,9.636666667,13.4624,25.3297,36.25333333,0.478766667,1263.1314
E2,28,4,Kabhutsu,G5,44,48.23529412,85,85,0.317829457,41,56.31666667,,0.203333333,5.461166667,5.19,22.25946667,24.9864,34.55666667,9.5146,589.5408667
E2,28,4,Kasawaya,G6,65,66.66666667,195,95,0.8125,130,22.47666667,,0.106666667,27.40976667,7.43,7.252233333,24.83603333,33.03666667,8.288533333,574.4341
E2,28,4,Makulu_red,G7,25,75,100,75,0.75,75,30.2,,0.22,23.15526667,13.32333333,7.438033333,32.21556667,45.57666667,10.74416667,717.5228
E2,28,4,Munzungu_munemari,G8,47,69.67741935,155,85,0.818181818,108,48.83666667,,0.27,20.4407,3.28,9.301033333,28.59643333,48.72333333,10.17526667,1258.432167
E2,28,4,Murambatsvina,G9,50,66.66666667,150,50,1,100,47.30666667,,0.306666667,15.9994,0.623333333,12.156,24.82363333,45.03666667,16.9456,1873.1313
E2,28,4,Muromo_wehoto,G10,47,27.69230769,65,65,0.160714286,18,60.19666667,,0.25,22.2693,0.14,13.65043333,22.56953333,28.12666667,11.33893333,961.8926667
