number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,GA,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
183,AER4,R3,Rep4,sand,Makulu_red,G7,5,27,0.01,54.5887,-3.54,12.15,14.6827,35.81,40.45,93.95,0.23,-5.1167,2607.551,46.25,0.51,59.46,0.3
184,AER4,R3,Rep4,sand,Tumbe,G12,5,27.89,0.2,50.132,-6.69,2.95,20.8185,24.98,30.45,58.11,0.48,-2.2654,1617.9946,54.71,0.5,56.92,0.18
185,AER4,R3,Rep4,sand,Murambatsvina,G9,5,28.5,0.02,52.385,-4.07,10.66,22.6311,34.91,38.87,92.04,0.28,-5.157,2547.5069,47.58,0.48,55.98,0.31
186,AER4,R3,Rep4,sand,Munzungu_munemari,G8,6,32,0.05,48.4535,-5.95,7.69,23.2474,34.31,39.01,88.13,0.39,-4.0172,2609.5287,50.97,0.48,56.94,0.3
187,AER4,R3,Rep4,sand,Chizambia,G3,6,37,0.07,50.8125,-5.99,7.03,24.2559,32.58,37.63,83.6,0.41,-4.095,2352.9093,51.09,0.49,57.48,0.27
188,AER4,R3,Rep4,sand,Chigunwe,G2,6,37.8,0.11,39.3799,-8.85,3.66,24.5923,35.19,40.34,79.24,0.52,-2.0606,3029.4445,57.08,0.48,56.84,0.3
189,AER4,R3,Rep4,sand,Bobwhite,G1,7,41,0.02,46.8189,-4.47,10.57,24.8771,36.02,40.22,92.68,0.29,-4.3878,2877.0656,48.21,0.49,57.22,0.32
190,AER4,R3,Rep4,sand,Guinea_fowl,G4,7,42,0.13,91.0613,-1.86,12.02,25.6684,29.78,33.79,56.18,0.29,-8.3406,1331.7702,42.62,0.48,55.53,0.26
191,AER4,R3,Rep4,sand,Muromo_wehoto,G10,7,48,0.05,53.8495,-5.85,7.59,26.9769,33.37,38.44,85.29,0.37,-4.3925,2331.9758,50.62,0.5,58.04,0.28
192,AER4,R3,Rep4,sand,Kabhutsu,G5,8,60.5,0.02,94.5495,2.07,18.31,27.7801,30.05,33.55,66.66,0.07,-9.04,1295.9097,35.72,0.51,57.12,0.26
193,AER4,R3,Rep5,sand,Kasawaya,G6,5,24.5,0.01,59.5181,-3.7,10.79,5.0372,32.62,37.95,95.51,0.21,-4.7262,2193.3608,45.91,0.53,60.76,0.26
194,AER4,R3,Rep5,sand,Natal_common,G11,5,27.6,0,61.2773,-2.16,13.31,6.1417,33.53,37.92,97.26,0.13,-5.7431,2266.2523,43.67,0.51,58.51,0.28
195,AER4,R3,Rep5,sand,Makulu_red,G7,5,27.8,0.09,56.0602,-4.35,4.52,13.8981,20.32,25.77,70.1,0.3,-2.1923,1099.5095,46.17,0.56,61.65,0.12
196,AER4,R3,Rep5,sand,Tumbe,G12,5,28.5,0.02,78.2717,-2.5,10.79,13.9847,28.68,33.37,92.73,0.21,-5.9933,1529.7922,43.21,0.51,57.79,0.23
197,AER4,R3,Rep5,sand,Murambatsvina,G9,5,29.5,0,61.1788,-2.42,11.54,13.9874,30.53,34.76,98.44,0.14,-5.4252,1925.3031,43.78,0.49,56.28,0.26
198,AER4,R3,Rep5,sand,Munzungu_munemari,G8,5,32.5,0,71.3911,2,19.94,19.3308,33.89,37.38,100,0.02,-9.0509,1565.2854,37.37,0.51,58.68,0.29
199,AER4,R3,Rep5,sand,Chizambia,G3,5,37.5,0.02,78.292,-2.51,10.66,20.6504,28.52,33.11,91.97,0.22,-5.9932,1535.4807,43.31,0.5,57.21,0.23
200,AER4,R3,Rep5,sand,Chigunwe,G2,6,38,0.04,58.857,-5.77,7.45,22.0606,32.59,37.81,87.74,0.36,-4.3059,2245.4025,50.45,0.5,58.4,0.27
201,AER4,R3,Rep5,sand,Bobwhite,G1,7,41.8,0.02,72.2371,-2.5,11.86,23.8642,31.43,35.81,90.47,0.19,-6.0862,1863.3039,43.93,0.5,57.24,0.26
202,AER4,R3,Rep5,sand,Guinea_fowl,G4,7,42.8,0.01,93.1498,0.95,16.61,27.7118,30.56,33.91,93.98,0.1,-8.6772,1480.6987,37.99,0.49,55.58,0.27
203,AER4,R3,Rep5,sand,Muromo_wehoto,G10,7,48.9,0.01,63.6963,-3.52,10.56,29.1356,32.04,36.62,94.73,0.25,-5.3306,2106.7757,45.98,0.5,57.43,0.27
204,AER4,R3,Rep5,sand,Kabhutsu,G5,8,62,0.04,94.1452,-0.15,14.5,30.0213,28.97,33.17,72.51,0.15,-7.9043,1285.0775,38.8,0.51,57.83,0.24
205,AER4,R3,Rep6,sand,Kasawaya,G6,5,25.8,0.08,45.0316,-5.95,8.57,4.3253,36.56,41.15,73.5,0.32,-3.2914,3099.1546,50.81,0.49,57.8,0.32
206,AER4,R3,Rep6,sand,Natal_common,G11,5,28,0.15,60.4754,-5.43,9.57,7.4919,36.08,41.73,53.76,0.32,-3.6008,2750.7486,49.26,0.53,61.98,0.29
