Genotype, Severity, GGA, Necrosis, a, u, Chlorosis, b, v, CSI, SHW, SP, PY, Biomass, HI, GY
Bobwhite,48.93555556,0.191666667,52.19720556,1.947222222,13.30185,13.23681111,34.505,18.81925556,545.4951889,110.0555556,30.17645277,168.2222222,163.6111111,0.19073852,58.16666667
Chigunwe,46.36166667,0.211111111,33.69306111,0.779444444,9.989994444,8.411072222,23.58222222,15.87893333,169.6089333,36.05555556,68.80649721,120.3888889,525.3703704,0.173921771,84.33333333
Chizambia,44.48388889,0.18,46.99895,3.783888889,9.939322222,10.6693,20.27611111,15.10513333,228.64985,80.72222222,50.78038873,161.9444444,474.6851852,0.169431947,81.22222222
Guinea_fowl,50.95222222,0.286111111,51.63382778,7.508333333,12.3136,13.22892222,27.29055556,15.2612,221.4063056,43.33333333,46.78264619,107.6111111,417,0.126320161,64.27777778
Kabhutsu,64.95722222,0.196111111,48.93428333,2.749444444,12.22907222,21.37200556,22.02333333,12.62192778,263.6530667,57.66666667,30.11072618,90,295.1481481,0.130496505,32.33333333
Kasawaya,25.695,0.212777778,46.18455556,4.925,9.189044444,9.338511111,28.20888889,17.80623889,242.8322333,128.6111111,55.42706121,328.2222222,293.9814815,0.541260796,199.6111111
Makulu_red,31.50277778,0.313888889,34.94976667,5.331666667,9.053166667,9.048311111,33.54222222,19.28705,202.433,91.88888889,43.69560887,219.9444444,300.7407407,0.458420261,128.0555556
Munzungu_munemari,38.69277778,0.214444444,45.28093889,1.987222222,9.098311111,10.94662222,27.48222222,16.80856111,395.1184833,64.58823529,58.76137841,171.5294118,387.4117647,0.57261967,106.9411765
Murambatsvina,35.70222222,0.21,42.8961,3.297222222,8.739127778,11.90447778,33.12722222,16.31720556,475.9481167,65.5,62.51206368,191.6111111,276.5925926,0.74952425,126.1111111
Muromo_wehoto,54.82631579,0.214736842,41.13631579,1.234736842,9.876052632,17.25056842,22.75263158,16.55653158,217.0772,84.77777778,34.01826602,137.4444444,431.5555556,0.195618574,52.66666667
Natal_common,31.16473684,0.183684211,45.36394211,4.31,9.815868421,11.77607895,39.24421053,18.59399474,428.1406526,96,60.67333756,237,456.2592593,0.507791742,141
Tumbe,35.84684211,0.182631579,46.72411579,3.481578947,10.33528421,11.06237895,31.97263158,17.972,386.6216632,71.66666667,64.08642779,212.4444444,377.9351852,0.748566417,140.7777778
