Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
Tumbe,G12,8,43.8,0.24,27.5138,-3.32,7.7,12.6178,32.32,22.9,-4.9521,1678.6162,38.18,1361.94,84.12,0.45,51.95,0.12
Murambatsvina,G9,5,47,0.22,57.7836,-6.3,11.85,12.9668,32.33,65.57,-5.0089,1679.193,38.07,2313.9,70.42,0.49,55.82,0.15
Munzungu_munemari,G8,7,48,0.23,61.477,-5.2,6.19,13.6364,30.8,56.23,-4.7494,1552.8717,38.53,3983.84,93.81,0.45,53.16,0.15
Chizambia,G3,4,50.9,0.14,63.1853,-3.4,8.85,14.3991,31.26,16.12,-3.9907,1337.4544,36.61,3202.53,69.92,0.45,52.95,0.19
Chigunwe,G2,5,51,0.15,50.2827,2.29,5.36,16.497,22.18,18.61,-7.585,442.8519,29.32,0,53.08,0.47,53.01,0.18
Bobwhite,G1,6,53,0.21,68.9353,2.35,3.03,20.9668,23.58,27.42,-7.9697,1835.4771,30.76,0,87.61,0.47,57.4,0.22
Guinea_fowl,G4,6,55,0.14,54.8891,3.51,12.68,21.2947,31.66,44.02,-5.4994,1267.8157,33.81,3781.56,82.72,0.46,54.04,0.18
Muromo_wehoto,G10,6,57.3,0.29,61.3908,-6.36,4.69,23.0151,21.41,30.29,-2.4608,383.8356,29.01,4430.24,88.32,0.44,52.66,0.19
Kabhutsu,G5,7,64.8,0.19,71.3908,-3.11,7.69,32.8715,21.41,20.29,-3.4608,383.8356,29.01,2247.81,77.83,0.45,51.73,0.12
Muromo_wehoto,G10,6,35.1,0.27,0.29,61.3908,-6.36,4.69,20.9668,21.41,35.38,30.29,-2.4608,383.8356,29.01,0.55,59.54,0.15
Natal_common,G11,7,46.61,0.23,0.16,61.4211,-4.1,15.84,32.8715,32.83,36.53,54.33,-5.2292,1494.1738,35.68,0.53,59.78,0.27
Tumbe,G12,8,77.13,0.15,0.24,27.5138,-3.32,7.7,16.497,32.32,36.23,22.9,-4.9521,1678.6162,38.18,0.52,58.79,0.27
Kasawaya,G6,7,26.98,0.04,0.45,85,10.79,32.64,0.43,23.21,33.01,46.37,-6.9,0,27.59,0.45,51.63,0.34
Natal_common,G11,7,32.76,0.11,0.12,82.59,8.95,25.03,0.76,20.86,23.31,39.68,-12.43,-385.56,17.11,0.55,59.09,0.16
Makulu_red,G7,6,33.58,0.05,0.12,45,11.74,35.48,0.89,35.24,35.2,40.96,-10.23,0,27.52,0.48,54.34,0.35
Tumbe,G12,6,34.96,0.06,0.08,92.35,13.26,38.81,1.02,37.1,36.44,50,-17.81,910.71,27.15,0.48,54.77,0.37
Murambatsvina,G9,7,35.98,0.12,0.15,81.48,9.54,28.49,1.03,26.59,28.55,17.16,-13.85,231.02,23.2,0.51,56.38,0.23
Munzungu_munemari,G8,7,39.53,0.06,0.09,90.7,10.85,34.09,1.11,35.57,35.56,37.54,-16.09,1097.96,28.66,0.47,53.97,0.35
Chizambia,G3,6,47.86,0.09,0.1,88.1,11.11,30.68,1.47,25.18,27.32,12.16,-14.28,-267.72,19.49,0.55,59.31,0.2
Chigunwe,G2,5,48.52,0.08,0.13,36.06,9.73,32.04,1.53,34.95,35.33,38.04,-15.36,1223.3,29.4,0.47,54.03,0.34
Bobwhite,G1,9,49.56,0.05,0.08,89.96,-11.2,34.66,2.11,35.04,35.19,44.27,-16.32,975.18,27.83,0.48,54.51,0.34
Guinea_fowl,G4,6,50.24,0.05,0.06,91.58,11.17,28.81,2.44,21.29,33.31,69.52,-13.81,-644.49,14.84,0.56,59.28,0.16
Muromo_wehoto,G10,6,58.03,0.11,0.13,81.51,8.89,25.76,8,22.53,25.04,12.54,-12.51,-206.84,19.35,0.55,58.9,0.17
Kabhutsu,G5,8,65,0.23,0.24,60.82,-4.73,2.23,10,16.69,21.87,40,-0.96,899.99,48.24,0.58,62.94,0.08
Kasawaya,G6,7,27.98,0.07,0.46,84.61,10.59,28.96,0.66,25.55,26.32,48,-5.11,270.52,21.89,0.46,51.02,0.25
Natal_common,G11,7,33.76,0.07,0.11,87.82,8.87,29.55,0.91,33.43,33.46,36.11,-14.88,1422.31,29.87,0.44,51.06,0.35
