Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
Guinea_fowl,G4,6,40,0.1,0.12,80.9082,2.45,14.87,5.0934,20.59,24.54,18.93,-7.0672,403.6636,27.19,0.56,60.44,0.14
Muromo_wehoto,G10,7,44,0.21,0.26,63.7397,-3.89,4.95,5.3343,19.86,25.05,18.29,-1.954,1135.0568,44.51,0.55,60.66,0.12
Kabhutsu,G5,4,56.8,0.25,0.32,54.1249,-5.08,3.57,7.8265,20.65,26.19,21.39,-1.1399,1456.0816,49.28,0.55,60.98,0.12
Kasawaya,G6,5,20.5,0.19,0.24,73.0441,-2.36,7.97,1.3582,21.53,26.41,21.05,-3.9527,1012.0985,40.17,0.54,59.5,0.14
Natal_common,G11,7,24,0.29,0.33,60.4137,-6.34,1.98,1.3989,21.15,27.19,11.73,-0.6078,1466.0703,54.47,0.57,62.63,0.12
Makulu_red,G7,6,24.5,0.24,0.35,58.4703,-4.91,6.91,1.5904,27.7,33.4,32.81,-2.968,1959.9494,48.22,0.53,60.28,0.2
Tumbe,G12,4,24.8,0.23,0.25,72.3451,-4.02,4.87,1.7228,20.2,25.3,11.19,-2.2507,1076.3675,45.38,0.54,59.41,0.13
Murambatsvina,G9,5,25.4,0.28,0.32,60.8136,-5.68,2.59,1.8834,20.61,26.01,14.44,-0.9194,1453.5188,52.41,0.53,58.91,0.13
Munzungu_munemari,G8,4,29.5,0.28,0.3,67.8857,-4.8,3.98,1.9485,20.76,26.02,8.38,-1.8819,1220.3499,48.53,0.54,59.16,0.13
Chizambia,G3,5,34.5,0.29,0.32,68.6624,-4.95,3.29,2.9728,19.76,24.99,8.17,-1.7054,1093.0376,49.4,0.54,59.28,0.12
Chigunwe,G2,4,35.4,0.37,0.4,56.2827,-8.79,-1.02,3.0296,22.53,29.07,7.14,1.1619,1879.6742,65.14,0.55,61.76,0.13
Bobwhite,G1,6,38,0.19,0.23,71.7532,-2.57,7.68,3.3891,21.48,26.54,16.64,-3.6443,1061.5247,40.53,0.55,60.54,0.14
Guinea_fowl,G4,6,40.5,0.16,0.18,80.648,-1.19,8.72,3.4021,19.47,23.87,11.1,-4.5561,650.7972,35.49,0.54,58.85,0.13
Muromo_wehoto,G10,7,44.6,0.34,0.37,59.1179,-7.94,-0.08,5.4648,22.02,27.91,8.79,0.7474,1829.0187,62.26,0.52,58.6,0.14
Kabhutsu,G5,4,57,0.17,0.24,79.1128,-2.26,6.82,6.0431,19.13,23.32,28.97,-4.564,666.2155,39.53,0.51,55.63,0.13
Kasawaya,G6,5,21,0.19,0.28,64.6488,-5.33,9.63,4.7231,36.29,41.4,31.43,-3.5088,2812.2169,49.33,0.51,60.05,0.3
Natal_common,G11,7,24.5,0.27,0.32,63.7077,-5.55,4.34,4.8517,24.17,29.62,13.39,-1.4764,1678.0016,50.82,0.52,58.19,0.17
Makulu_red,G7,6,25,0.47,0.53,34.5797,-13.95,-8.37,4.951,22.79,30.51,11.52,5.838,2739.3668,87.15,0.56,62.92,0.12
Tumbe,G12,4,25.5,0.4,0.44,51.0295,-10.66,-4.21,5.0559,21.5,28.13,10,3.1079,2065.8979,76,0.54,60.4,0.12
Murambatsvina,G9,5,26,0.34,0.4,54.3497,-9.13,-0.48,5.1305,24.92,31.68,14.47,1.1227,2167.2441,63.58,0.55,61.86,0.16
Munzungu_munemari,G8,5,30,0.38,0.43,50.0661,-10.53,-4.14,5.1493,21.24,27.75,11.78,3.3993,2074.2912,76.07,0.53,59.85,0.12
Chizambia,G3,5,35,0.41,0.46,47.7294,-10.77,-4.31,5.3468,21.62,28.3,11.6,3.4862,2121.3389,76.24,0.54,60.47,0.12
Chigunwe,G2,4,35.4,0.48,0.53,40.3765,-13.44,-7.85,5.4648,22.28,29.44,9.7,5.6891,2528.8313,86.24,0.53,59.88,0.12
Bobwhite,G1,6,38.6,0.33,0.39,54.5602,-9.09,-0.85,5.4754,24.01,30.53,14.59,1.5982,2106.8565,64.74,0.54,60.53,0.15
Guinea_fowl,G4,6,41,0.12,0.2,71.9794,-2.58,14.12,6.4493,36.92,41.39,38.31,-5.704,2560.279,44.79,0.52,60.22,0.31
Muromo_wehoto,G10,7,44.8,0.34,0.41,54.7567,-9.44,-0.7,9.0833,25.7,32.08,16.45,1.2016,2273.531,64.29,0.52,58.91,0.18
Kabhutsu,G5,5,57.9,0.17,0.24,79.1128,-2.26,6.82,9.8062,19.13,23.32,28.97,-4.564,666.2155,39.53,0.51,55.63,0.13
