"","GEN","GY","SP","PY","Biomass","HI","SHW","Severity","GGA","Necrosis","a","u","Chlorosis","b","v","CSI"
"1","G1",74.5488404320399,37.5270651919302,173.364400851332,245.52993102349,0.266315770888179,92.4773939618064,47.7590157897103,0.173333749005861,52.2883526687692,-0.732057903413019,10.065595216162,15.1935162016332,33.3760206867986,23.5357662048598,315.913870823863
"2","G10",71.1197089607973,39.9790853235283,156.602696680084,405.992892231917,0.269235757542922,80.9913624553132,54.6841646056692,0.236267720684364,44.2374008811301,-0.580520502661685,10.065595216162,18.0077427419396,29.8642556957647,23.5357662037281,315.661929742707
"3","G11",126.19363865045,56.9915655710767,210.821061075168,420.787113678176,0.456024995404619,86.0906555636904,33.5660736332406,0.208419744883842,46.6179983162596,-0.0947827969768234,10.065595216162,13.9658152298632,32.6397620793978,23.5357662039958,315.560125170513
"4","G12",126.055087883935,59.1699551523531,197.448004678613,373.881446786032,0.600092848440471,75.0337724871101,35.9905839568779,0.221546323791895,45.0174213513131,-0.270019672502662,10.065595216162,13.7971720644201,30.9097392802019,23.5357662039213,315.637345869417
"5","G2",90.8631931891633,62.1825183580276,147.314171083382,462.175445361917,0.256253445980968,58.8523522768637,44.8918108915184,0.282026729382991,37.2857614027905,-0.518733622285316,10.065595216162,13.3756868420218,30.5313934259049,23.5357662038655,315.575905701293
"6","G3",88.9234824579554,50.677435207918,169.945497292937,431.82178409831,0.253566953842305,79.1485486092165,42.0812651627913,0.238598608587011,49.3046211431206,-0.261375310800818,10.065595216162,13.4565898209755,29.2391968150411,23.535766203233,315.493293119428
"7","G4",78.3589865111982,48.1258939044564,140.355340831781,397.276057091702,0.227770958462766,62.1593195897221,49.0526736787918,0.199832263375502,56.4306358633634,0.21580505703581,10.065595216162,15.1368657305552,31.4143823168557,23.5357662037744,315.488718654317
"8","G5",58.4423138246887,37.4851154889164,130.764257398052,324.303060703277,0.230269879585047,68.6722781142831,61.7610022060229,0.178363559586253,53.7482319916688,-0.127039609695288,10.065595216162,19.2396883478406,29.7935583773831,23.5357662025432,315.446376029596
"9","G6",162.736403318741,53.6431531419252,260.50105791486,323.604383084989,0.476051249197593,100.908898408331,28.1696465315304,0.204003325816101,47.9985504294919,-0.101657675215897,10.065595216162,12.6638072062739,31.8007316409695,23.5357662045179,315.422911716643
"10","G7",118.12305650096,46.1556061334739,201.532535478466,327.652277255698,0.426483503209612,84.2225976923047,32.4687505154395,0.26227552179972,43.3424049436585,0.102122998578397,10.065595216162,13.7542657286017,32.0614507398935,23.5357662050586,315.276408876636
"11","G8",107.835662087232,55.8470067022617,179.415557591855,387.73855297746,0.484141778386792,73.2666907168804,40.600775461018,0.24240163603169,45.3282481335842,-0.502170097032238,10.065595216162,14.5431885289128,30.9141654421256,23.5357662038822,315.626244811653
"12","G9",116.910737293955,58.165124300958,186.102085790133,313.190759440364,0.600665968780938,72.2316856800316,36.7144227535061,0.2173752613881,43.0950821329052,-0.331052346919358,10.065595216162,13.7395134069629,31.8529360935514,23.5357662041759,315.856010279489
