"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 4",1,1,1,1,1,1,1,0.0402684563758389,0.0402684563758389,0.0402684563758389,1
"Class: 5",1,1,1,1,1,1,1,0.181208053691275,0.181208053691275,0.181208053691275,1
"Class: 6",1,1,1,1,1,1,1,0.208053691275168,0.208053691275168,0.208053691275168,1
"Class: 7",1,1,1,1,1,1,1,0.476510067114094,0.476510067114094,0.476510067114094,1
"Class: 8",1,1,1,1,1,1,1,0.087248322147651,0.087248322147651,0.087248322147651,1
"Class: 9",1,1,1,1,1,1,1,0.00671140939597315,0.00671140939597315,0.00671140939597315,1
