Growth_stage,Replication,Group,Genotypes,Severity,Intensity,Hue,Saturation,Lightness,a*,b*,ab,u*,v*,uv,GA,GGA,CSI
R5,2,Commercial,DENDERA,90,0.4952215,73.66739,0.1567365,56.833775,-11.09603,23.70633,-263.0461489,-3.9418848,30.015385,-118.3171899,0.61527061,0.502232646,18.37207281
R5,2,Commercial,GUINEAFOWL,70,0.48233905,75.49213,0.13646424,55.042023,-10.426645,21.31989,-222.2949245,-4.0000577,27.136007,-108.5455937,0.635122355,0.59437136,6.416243126
R5,2,Landrace,GURA_KUKUMBIRA,90,0.47168854,52.92255,0.1592753,53.284267,-5.6525083,21.660463,-122.4359469,2.9102993,26.294159,76.52387253,0.487600297,0.470404651,3.526586442
R5,2,Pre-release,ICGV-SM-15576,50,0.47128317,150.32976,0.118426025,53.429504,-16.226093,11.252904,-182.5906668,-16.202536,16.799208,-272.1897724,0.809254521,0.8007834,1.046780771
R5,2,Pre-release,ICGV-SM-15592,50,0.49226013,63.372616,0.11158335,54.93805,-7.0713525,18.415764,-130.2243588,-0.49790138,23.398588,-11.65018926,0.549088313,0.529913986,3.492029642
R5,2,Pre-release,ICGV-SM-15631,40,0.42963398,85.613846,0.070061624,48.095966,-7.903839,13.668898,-108.0367691,-3.8156214,17.579546,-67.07689192,0.599720192,0.582908784,2.80320864
R5,2,Pre-release,ICGV-SM-16637,60,0.4660652,64.03958,0.14731514,52.97527,-7.874234,21.034199,-165.6282049,-0.5418291,26.034418,-14.10620527,0.52838547,0.485278684,8.158208106
R5,2,Pre-release,IGGV-SM-15588,50,0.44624472,46.44883,0.16169351,50.277958,-3.7413204,20.503828,-76.71138997,5.033318,24.271452,122.1659362,0.431425827,0.394698626,8.512981625
R5,2,Commercial,ILLANDA,80,0.4290594,75.83718,0.12542659,49.062992,-9.120961,18.446096,-168.2461222,-3.4212327,23.004505,-78.70376475,0.697437921,0.659587903,5.427008911
R5,2,Commercial,JESA,70,0.48768762,67.007645,0.0831362,53.94609,-6.650527,15.623526,-103.9046815,-1.1839523,20.141808,-23.84693991,0.419881234,0.388796125,7.403309893
R5,2,Landrace,KABHUTSU,90,0.4488206,78.80888,0.17417455,52.619667,-12.57679,24.053255,-302.512737,-5.935545,29.901068,-177.4791347,0.521547715,0.49609822,4.879610061
R5,2,Landrace,KASAWAYA,80,0.46532738,74.47364,0.19328171,54.59881,-12.374162,26.19131,-324.0955129,-4.8105607,32.33205,-155.5352891,0.653305107,0.611638441,6.377826563
R5,2,Landrace,MAKULU_RED,80,0.4326444,91.31223,0.16742295,51.672573,-16.13463,24.03243,-387.7543661,-10.816454,30.362738,-328.4171589,0.741898431,0.705217247,4.944232558
R5,2,Landrace,MATATU_MATATU,70,0.41867685,77.082535,0.16211462,48.87113,-10.857233,21.52626,-233.7156204,-4.565393,26.397331,-120.5141902,0.738388015,0.654516529,11.3587279
R5,2,Landrace,MUNZUNGU_MUNEMARI,80,0.43784854,92.70776,0.1431337,51.58926,-14.957385,21.911703,-327.7417778,-10.015435,28.025246,-280.6850297,0.700964213,0.671972892,4.135920214
R5,2,Landrace,MURAMBATSVINA,70,0.4449793,115.924225,0.04849273,50.15483,-11.243633,13.252789,-149.0094957,-8.54194,17.931831,-153.1726245,0.653064813,0.621628578,4.813647024
R5,2,Landrace,MUROMO_WEHOTO,70,0.48135245,63.523193,0.108145714,53.727966,-6.8557005,17.766693,-121.8031261,-0.5017241,22.50427,-11.29093461,0.524478587,0.498229068,5.004879138
R5,2,Commercial,NJIVA,60,0.5308117,99.61165,0.15395623,62.94806,-21.614256,27.865225,-602.2861066,-17.154566,37.346214,-640.6580929,0.797739135,0.764046388,4.223529337
R5,2,Landrace,NYATSINGA,90,0.45966664,77.974335,0.14917207,53.091885,-11.321094,21.97116,-248.7375676,-5.0027246,27.665905,-138.4049035,0.631692437,0.611425988,3.20827797
R5,2,Landrace,TUMBE,60,0.467587,40.966038,0.08332223,51.137882,-2.9451551,14.176814,-41.75291605,3.3344202,17.549768,58.51830092,0.50250465,0.486295397,3.225692043
