Growth_stage,Replication,Group,Genotypes,Severity,Intensity,Hue,Saturation,Lightness,a*,b*,ab,u*,v*,uv,GA,GGA,CSI
R3,2,Landrace,MUROMO_WEHOTO,50,0.40293014,77.34718,0.21298087,48.3347,-12.765489,25.334131,-323.4025706,-5.7630167,30.265053,-174.4180059,0.702650706,0.522118886,25.6929678
R3,2,Commercial,NJIVA,40,0.4089984,85.102585,0.23350626,50.29603,-16.99902,28.394758,-482.6830591,-10.450712,34.300255,-358.4620865,0.836583455,0.648732503,22.45453827
R3,2,Landrace,NYATSINGA,70,0.45008516,61.84651,0.1901303,52.031258,-8.197547,24.188564,-198.2868903,0.25972188,29.082499,7.553361315,0.517565409,0.388005575,25.03255288
R3,2,Landrace,TUMBE,50,0.42729068,86.85391,0.1841479,51.16605,-15.416021,24.91794,-384.1354863,-9.513892,30.984072,-294.7791147,0.765514374,0.658486684,13.98114696
R4,1,Landrace,AQUA,60,0.42861775,66.41264,0.19273186,50.0021,-9.168956,23.826714,-218.4660923,-1.3181511,28.52604,-37.601631,0.558186849,0.409117381,26.70601582
R4,1,Landrace,BOBWHITE,50,0.41953814,67.7895,0.20418018,49.317062,-9.716086,24.513903,-238.1791897,-1.8405792,29.141815,-53.63781854,0.490118663,0.352181753,28.14357431
R4,1,Landrace,CHIGUNWE,70,0.4004693,74.1202,0.2942205,49.628204,-14.473017,31.668528,-458.3391441,-5.954726,36.465595,-217.1426267,0.722284953,0.459935506,36.32215313
R4,1,Landrace,CHIZAMBIA,70,0.39108077,81.33439,0.1873151,46.681328,-12.655317,22.941425,-290.3310058,-6.480072,27.658997,-179.232292,0.629857381,0.490248362,22.16517947
R4,1,Commercial,DENDERA,80,0.3776532,75.422356,0.29335386,47.054943,-14.361628,30.31307,-435.3450349,-6.300791,34.567825,-217.8046406,0.638226827,0.482852936,24.34461928
R4,1,Commercial,GUINEAFOWL,50,0.42390093,64.55123,0.1794458,49.104225,-8.24911,22.33902,-184.2770333,-0.6379091,26.744413,-17.06050443,0.519137065,0.421869914,18.73631407
R4,1,Landrace,GURA_KUKUMBIRA,80,0.39060304,78.08229,0.20295745,46.75399,-12.299166,23.951763,-294.5867091,-5.6374736,28.550144,-160.9506831,0.633556366,0.520301819,17.87600176
R4,1,Pre-release,ICGV-SM-15576,50,0.3916926,88.11516,0.26808584,49.587627,-19.737993,30.893784,-609.7812923,-13.324882,36.797462,-490.321839,0.905246735,0.725771586,19.82610284
R4,1,Pre-release,ICGV-SM-15592,40,0.40508184,83.53333,0.17161757,48.037937,-12.948017,22.392475,-289.938147,-7.0779138,27.468058,-194.4165468,0.718212128,0.639139811,11.00960474
R4,1,Pre-release,ICGV-SM-15631,50,0.41535032,83.333145,0.21174341,50.252647,-15.289137,26.52721,-405.5781479,-8.767369,32.273693,-282.9553755,0.714650472,0.643327077,9.980178782
R4,1,Pre-release,ICGV-SM-16637,50,0.39832604,83.59636,0.2832294,50.20921,-18.486084,31.92935,-590.2486462,-11.335612,37.616608,-426.407273,0.873247782,0.668239594,23.47651984
R4,1,Pre-release,IGGV-SM-15588,40,0.3675823,85.73194,0.22155023,45.195545,-15.247406,25.169615,-383.7713388,-9.146524,29.826195,-272.8060084,0.65041097,0.57023112,12.32756733
R4,1,Commercial,ILLANDA,90,0.38303447,77.59768,0.23607016,46.6085,-13.265049,26.290905,-348.7501431,-6.129885,30.808495,-188.8525314,0.663021088,0.538342794,18.80457442
R4,1,Commercial,JESA,70,0.42590645,58.847717,0.19694489,49.354256,-7.200955,23.531572,-169.4497911,1.3106619,27.738337,36.35558148,0.503593445,0.397092183,21.14826205
R4,1,Landrace,KABHUTSU,90,0.46032405,51.042442,0.13933212,51.637886,-4.9144926,19.369516,-95.19134305,2.9183865,23.548172,68.72266726,0.399864197,0.303654989,24.06047077
R4,1,Landrace,KASAWAYA,90,0.44029942,60.37705,0.19080055,50.897484,-7.681114,23.731607,-182.2851788,0.770785,28.323488,21.8313197,0.440764109,0.319207509,27.57860665
R4,1,Landrace,MAKULU_RED,50,0.40555587,74.66676,0.23612094,48.95027,-12.756514,27.19162,-346.8702812,-5.090374,32.09254,-163.3630312,0.678067525,0.555333455,18.10056746
R4,1,Landrace,MATATU_MATATU,50,0.36986232,78.66042,0.3045737,46.72575,-15.991183,31.106133,-497.4238652,-8.26385,35.42119,-292.715401,0.742632548,0.593255361,20.11454891
R4,1,Landrace,MUNZUNGU_MUNEMARI,60,0.43227482,71.88571,0.23267496,51.669106,-12.239246,27.98589,-342.5261922,-4.027436,33.35998,-134.3551844,0.679144541,0.568206787,16.33492542
R4,1,Landrace,MURAMBATSVINA,40,0.4154214,73.32706,0.29730338,51.359077,-14.615991,32.760494,-478.8270855,-5.7486486,37.90562,-217.9060893,0.719127655,0.627221425,12.78023853
R4,1,Landrace,MUROMO_WEHOTO,50,0.41464162,78.83564,0.24366724,50.55871,-14.964804,28.803576,-431.0398693,-7.544032,34.347836,-259.1211739,0.737172445,0.600795746,18.4999724
R4,1,Commercial,NJIVA,50,0.43744138,71.96266,0.2513107,52.69041,-13.040348,29.923008,-390.2064375,-4.4403605,35.508045,-157.6685205,0.667551676,0.53891627,19.26973013
R4,1,Landrace,NYATSINGA,90,0.41822365,70.91523,0.21549368,49.628204,-11.02281,25.694614,-283.2268481,-3.2121785,30.55842,-98.15909972,0.615160624,0.511647542,16.82700059
R4,1,Landrace,TUMBE,70,0.4036179,74.40309,0.23243517,48.621143,-12.4825945,26.737503,-333.7534079,-4.87871,31.55374,-153.9415469,0.717529297,0.579900106,19.1809856
R4,2,Landrace,AQUA,50,0.3992881,80.61135,0.33739656,51.32056,-19.371033,36.04644,-698.2567788,-11.3119135,41.470833,-469.1144757,0.875628153,0.648139954,25.98000064
R4,2,Landrace,BOBWHITE,50,0.41953814,67.7895,0.20418018,49.317062,-9.716086,24.513903,-238.1791897,-1.8405792,29.141815,-53.63781854,0.490118663,0.352181753,28.14357431
R4,2,Landrace,CHIGUNWE,60,0.37068748,86.55945,0.28858262,47.404438,-19.191965,31.034985,-595.6223459,-12.537709,36.167454,-453.4570135,0.869199117,0.740324656,14.82680531
R4,2,Landrace,CHIZAMBIA,90,0.40641323,77.666306,0.23246223,49.227615,-13.773983,27.241837,-375.2285997,-6.462522,32.397503,-209.3695759,0.684214274,0.536055247,21.65389304
R4,2,Commercial,DENDERA,90,0.4669727,54.684124,0.16722322,53.02196,-6.1604633,22.327152,-137.5456005,2.4510672,27.02466,66.23925772,0.379665375,0.314940135,17.04797023
R4,2,Commercial,GUINEAFOWL,60,0.39545918,72.432434,0.2607869,48.14231,-12.51895,28.438017,-356.0141129,-4.3602185,32.93948,-143.6233301,0.634497325,0.47933197,24.4548477
R4,2,Landrace,GURA_KUKUMBIRA,90,0.41840005,76.09598,0.23549432,50.526436,-13.610193,27.97285,-380.7158873,-5.964234,33.339077,-198.8420566,0.703760783,0.547353109,22.22455101
R4,2,Pre-release,ICGV-SM-15576,40,0.41875473,82.62434,0.2138241,50.62674,-15.206459,26.803434,-407.5853202,-8.558408,32.59899,-278.9954568,0.739822388,0.635930379,14.04283112
R4,2,Pre-release,ICGV-SM-15592,40,0.4123853,77.31311,0.23146945,49.85598,-13.77097,27.438034,-377.8483431,-6.3817086,32.725624,-208.8453961,0.72980245,0.547889709,24.92629892
R4,2,Pre-release,ICGV-SM-15631,30,0.41129074,75.26745,0.24298036,49.819347,-13.404068,28.13898,-377.1768014,-5.6370277,33.274986,-187.5720178,0.720654806,0.541301727,24.88751575
R4,2,Pre-release,ICGV-SM-16637,40,0.39832604,83.59636,0.2832294,50.20921,-18.486084,31.92935,-590.2486462,-11.335612,37.616608,-426.407273,0.873247782,0.668239594,23.47651984
R4,2,Pre-release,IGGV-SM-15588,50,0.3675823,85.73194,0.22155023,45.195545,-15.247406,25.169615,-383.7713388,-9.146524,29.826195,-272.8060084,0.65041097,0.57023112,12.32756733
R4,2,Commercial,ILLANDA,50,0.36193514,85.4593,0.27648467,45.891438,-17.692331,29.312809,-518.6119194,-11.062316,34.017296,-376.3100778,0.747792562,0.635814667,14.9744596
R4,2,Commercial,JESA,50,0.40866455,79.42813,0.2627349,50.404232,-15.872908,30.199442,-479.3529645,-8.328744,35.704338,-297.3722909,0.770693461,0.537710826,30.23025979
R4,2,Landrace,KABHUTSU,90,0.37292612,85.18553,0.22744262,45.92458,-15.520291,25.888035,-401.7898366,-9.276467,30.695757,-284.7481769,0.687533061,0.570348104,17.04426501
R4,2,Landrace,KASAWAYA,80,0.37781632,79.60448,0.28951168,47.43602,-16.10018,30.561817,-492.0507548,-8.56384,35.213318,-301.5612212,0.792390188,0.535621643,32.40430643
R4,2,Landrace,MAKULU_RED,50,0.39934078,85.60736,0.28295982,50.58379,-19.530659,32.27535,-630.358855,-12.6365595,38.212612,-482.8759452,0.839794159,0.671961466,19.98497973
R4,2,Landrace,MATATU_MATATU,40,0.39804545,83.643906,0.21841091,48.468693,-15.227961,26.270853,-400.0515249,-8.771116,31.609985,-277.2548452,0.748963674,0.609476725,18.62399386
R4,2,Landrace,MUNZUNGU_MUNEMARI,60,0.4758091,55.06023,0.17912608,54.20477,-6.498405,23.769373,-154.4630124,2.6126592,28.735806,75.07686792,0.484884898,0.325236003,32.92511191
R4,2,Landrace,MURAMBATSVINA,50,0.3916616,76.552574,0.29021662,48.75774,-15.171669,31.097563,-471.8019325,-7.116258,35.870888,-255.2664937,0.725934347,0.564526876,22.23444468
R4,2,Landrace,MUROMO_WEHOTO,60,0.39031005,74.294014,0.23878306,47.2262,-12.347086,26.546196,-327.768165,-4.7884793,31.016592,-148.5223087,0.649976095,0.474352519,27.0200054
R4,2,Commercial,NJIVA,50,0.4205911,76.20763,0.18172175,49.49522,-11.46851,23.295912,-267.1693997,-4.7208104,28.351574,-133.8424054,0.601909637,0.511882782,14.95687224
R4,2,Landrace,NYATSINGA,80,0.38411582,78.38284,0.23630714,46.806362,-13.597529,26.449371,-359.6460892,-6.522409,31.060019,-202.5861475,0.651240031,0.51062266,21.59224924
R4,2,Landrace,TUMBE,50,0.41204724,86.09018,0.22944432,50.64462,-17.309797,28.328352,-490.3580225,-10.893936,34.38568,-374.5953972,0.797190348,0.6729304,15.58723697
R5,1,Landrace,AQUA,80,0.5234274,51.205173,0.18958014,59.19581,-5.867047,26.332947,-154.4966377,4.841866,32.041866,155.1424216,0.523509021,0.373223843,28.70727563
R5,1,Landrace,BOBWHITE,100,0.4221705,94.004684,0.13639343,49.734943,-14.457376,20.739117,-299.8332124,-9.752922,26.428013,-257.7503494,0.663185545,0.622405719,6.149082401
R5,1,Landrace,CHIGUNWE,70,0.46938825,23.446262,0.09974873,50.733875,1.4678411,14.54026,21.34279123,9.839368,17.068794,167.9461455,0.332836771,0.300012732,9.861902758
R5,1,Landrace,CHIZAMBIA,80,0.46324167,100.35377,0.0455063,51.310047,-8.398089,12.402427,-104.1566858,-5.0994964,16.575182,-84.52508094,0.478464892,0.441966218,7.628286655
R5,1,Commercial,DENDERA,80,0.43147305,55.034508,0.0836817,47.785267,-4.688695,13.876493,-65.06264335,0.67798126,17.189207,11.65396022,0.406385956,0.362373744,10.83015088
R5,1,Commercial,GUINEAFOWL,80,0.48124823,62.62629,0.14624548,54.499912,-7.7415724,21.389078,-165.5850959,-0.16586818,26.610764,-4.413878993,0.532567943,0.49832531,6.429720959
R5,1,Landrace,GURA_KUKUMBIRA,90,0.42962912,36.73031,0.17969,48.157745,-0.38295346,20.59655,-7.887520087,9.79137,23.357748,228.704353,0.381929319,0.343765046,9.992496373
R5,1,Pre-release,ICGV-SM-15576,70,0.46749222,112.725914,0.06816465,53.35696,-13.958747,16.174559,-225.7765769,-11.033453,22.027382,-243.038084,0.771515903,0.757257687,1.848078081
R5,1,Pre-release,ICGV-SM-15592,50,0.4980739,45.572807,0.1200273,55.0011,-3.8356888,18.46419,-70.82288678,4.1833677,22.83633,95.53276531,0.455013259,0.437848974,3.772260504
R5,1,Pre-release,ICGV-SM-15631,50,0.44987306,53.779976,0.09951097,49.958332,-4.914078,15.6884165,-77.09410238,1.2306916,19.437761,23.92188919,0.529006901,0.51183074,3.246868936
R5,1,Pre-release,ICGV-SM-16637,50,0.47129786,57.464417,0.14863724,53.261105,-6.56344,20.952877,-137.522951,1.2989501,25.743246,33.43919197,0.48713029,0.44878199,7.872288187
R5,1,Pre-release,IGGV-SM-15588,50,0.44729567,45.06624,0.16754895,50.397026,-3.329784,20.922483,-69.66734913,5.8106794,24.630363,143.1191429,0.408520211,0.369879644,9.458667249
R5,1,Commercial,ILLANDA,90,0.45385352,61.598667,0.19294071,52.481133,-8.239961,24.571587,-202.4689186,0.36713874,29.548096,10.84825073,0.578754775,0.51017316,11.84985722
R5,1,Commercial,JESA,90,0.4698796,50.69841,0.17507869,53.251175,-5.154783,22.844398,-117.7579145,4.130524,27.38481,113.1136149,0.558656983,0.495177115,11.36294174
R5,1,Landrace,KABHUTSU,90,0.47442758,58.420265,0.17346436,54.130596,-7.2849903,23.426943,-170.6650525,1.3326547,28.535463,38.02791888,0.473286639,0.41798449,11.68470517
R5,1,Landrace,KASAWAYA,90,0.49158525,63.669163,0.20326096,56.908527,-9.640181,27.33396,-263.5043218,-0.39393306,33.361107,-13.14204297,0.561916879,0.482046932,14.21383648
R5,1,Landrace,MAKULU_RED,70,0.45693454,78.99739,0.06628382,50.673206,-7.1023464,13.668318,-97.07712914,-2.729807,17.706537,-48.33542865,0.549564554,0.529474856,3.655566462
R5,1,Landrace,MATATU_MATATU,70,0.48981082,96.937355,0.16312867,58.495705,-19.91848,26.83118,-534.4363222,-15.088891,35.15596,-530.4644484,0.857964894,0.814288334,5.090716379
R5,1,Landrace,MUNZUNGU_MUNEMARI,80,0.43381476,84.03264,0.14083326,50.433025,-12.019677,20.678719,-248.5515232,-6.4857407,26.039858,-168.8877669,0.719147011,0.667486015,7.18364888
R5,1,Landrace,MURAMBATSVINA,70,0.4117432,104.19446,0.13347644,49.376556,-17.510868,21.216112,-371.5125367,-13.6162815,27.392145,-372.9791572,0.892903538,0.84348557,5.534524811
R5,1,Landrace,MUROMO_WEHOTO,80,0.43729123,105.67142,0.09109199,50.633892,-14.17567,17.492428,-247.9668868,-10.683442,23.149334,-247.3145671,0.817435706,0.799081125,2.245385187
R5,1,Commercial,NJIVA,70,0.39000782,90.9443,0.2039482,47.8749,-17.130692,25.473583,-436.3801045,-11.570959,31.091705,-359.7608438,0.889442986,0.778576916,12.46466296
R5,1,Landrace,NYATSINGA,90,0.47982886,89.464806,0.18828523,57.44523,-18.306332,28.099775,-514.4038103,-12.384394,35.895638,-444.5457239,0.772067822,0.741946657,3.901362525
R5,1,Landrace,TUMBE,80,0.4613,82.08736,0.18353206,54.515884,-14.484456,25.843676,-374.3315879,-7.8989954,32.382046,-255.7856324,0.790633658,0.723180818,8.531491054
R5,2,Landrace,AQUA,70,0.49423352,78.22513,0.14441693,56.689816,-11.770449,22.772642,-268.0442213,-5.283744,29.159351,-154.0705459,0.610772226,0.587983357,3.731156721
R5,2,Landrace,BOBWHITE,80,0.52035713,51.12946,0.19223231,58.9196,-5.8357086,26.454865,-154.3828832,4.9256716,32.108673,158.1567787,0.40632331,0.382386991,5.890953949
R5,2,Landrace,CHIGUNWE,60,0.48581293,65.31794,0.058554053,53.161663,-5.5839686,13.088043,-73.08322115,-0.88037395,17.010593,-14.97568295,0.470665581,0.438194946,6.89887604
R5,2,Landrace,CHIZAMBIA,90,0.48385978,52.236755,0.07777351,53.058605,-4.6502056,14.501144,-67.43330104,1.1105138,18.423418,20.45945993,0.50675975,0.482783642,4.731257348
