Stage,Replication,Groups,Genotypes,Genotype,CSI,Severity_score,Severity_pix,Healthy_pix,GGA,GA,Intensity,Hue,Saturation,Lightness,a*,b*,u*,v*,ab,uv
R1,1,Landrace,MAKULU_RED,G17,17.58,29,45.66,54.34,0.7,0.85,0.32,89.74,0.3,42.38,-19.41,29.37,-13.2,33.27,-570.07,-439.16
R1,1,Landrace,MATATU_MATATU,G18,14.49,32.1,2.76,97.24,0.79,0.92,0.34,89.83,0.39,46.36,-24.4,36.8,-17.75,41.17,-897.92,-730.77
R1,1,Landrace,MUNZUNGU_MUNEMARI,G19,27.15,23,0.28,99.72,0.68,0.93,0.34,87.26,0.37,46.11,-22.34,35.61,-15.4,39.84,-795.53,-613.54
R1,1,Landrace,MURAMBATSVINA,G20,30.51,28.9,9.97,90.03,0.54,0.77,0.34,83.88,0.27,42.76,-15.88,27.25,-9.29,31.06,-432.73,-288.55
R1,1,Landrace,MUROMO_WEHOTO,G21,14.94,20.1,3.31,96.69,0.8,0.94,0.33,90.9,0.4,46.25,-25.54,37.67,-19.01,41.95,-962.09,-797.47
R1,1,Commercial,NJIVA,G22,20.94,24.5,65.57,34.43,0.5,0.64,0.35,89.03,0.18,42.21,-13.82,21.43,-8.49,25.49,-296.16,-216.41
R1,1,Landrace,NYATSINGA,G23,14.76,30,1.98,98.02,0.44,0.51,0.41,66.53,0.13,46.72,-7.15,17.64,-1.07,21.46,-126.13,-22.96
R1,1,Landrace,TUMBE,G24,19.92,15,0.13,99.87,0.75,0.94,0.34,87.66,0.45,48.33,-26.09,41.25,-18.95,45.37,-1076.21,-859.76
R1,2,Landrace,AQUA,G1,39.62,36,25.83,74.17,0.35,0.58,0.36,77.08,0.2,42.81,-11.11,22.14,-4.71,25.79,-245.98,-121.47
R1,2,Landrace,BOBWHITE,G2,22.8,27,18.23,81.77,0.37,0.47,0.34,79.72,0.18,41.05,-10.68,20.04,-4.9,23.41,-214.03,-114.71
R1,2,Landrace,CHIGUNWE,G3,13.81,25,26.1,73.9,0.77,0.89,0.29,89.32,0.42,40.8,-22.75,34.71,-16.01,37.13,-789.65,-594.45
R1,2,Landrace,CHIZAMBIA,G4,20.98,13,0.12,99.88,0.51,0.64,0.37,81.38,0.2,44.63,-12.6,22.8,-6.46,27.08,-287.28,-174.94
R1,2,Commercial,DENDERA,G5,18.89,34,2.31,97.69,0.76,0.94,0.33,90.33,0.42,46.35,-25.62,38.24,-18.98,42.4,-979.71,-804.75
R1,2,Commercial,GUINEAFOWL,G6,10.52,23,0.45,99.55,0.85,0.95,0.34,100.61,0.24,44.53,-22.35,27.76,-17.46,33.15,-620.44,-578.8
R1,2,Landrace,GURA_KUKUMBIRA,G7,26.52,20.5,1.08,98.92,0.55,0.75,0.33,83.8,0.27,41.47,-15.28,26.29,-8.8,29.78,-401.71,-262.06
R1,2,Pre-release,ICGV-SM-15576,G8,17.27,20,0.25,99.75,0.49,0.59,0.37,77.92,0.22,45.02,-12.33,24.19,-5.61,28.38,-298.26,-159.21
R1,2,Pre-release,ICGV-SM-15592,G9,19.68,15.8,1.71,98.29,0.25,0.32,0.4,54.66,0.15,45.75,-5.29,18.54,1.83,21.86,-98.08,40
R1,2,Pre-release,ICGV-SM-15631,G10,15.83,17,5.46,94.54,0.79,0.93,0.35,90.26,0.4,48.16,-25.87,38.67,-19.24,43.48,-1000.39,-836.56
R1,2,Pre-release,ICGV-SM-16637,G11,28.69,35,4.59,95.41,0.54,0.76,0.31,82.97,0.33,40.98,-17.03,29.92,-10,32.79,-509.54,-327.9
R1,2,Pre-release,IGGV-SM-15588,G12,23.53,23.6,52.44,47.56,0.7,0.92,0.34,85.6,0.38,45.88,-21.57,35.68,-14.38,39.66,-769.62,-570.31
R1,2,Commercial,ILLANDA,G13,24.16,33,21.38,78.62,0.52,0.69,0.37,82.54,0.2,44.32,-13.14,23.23,-7.02,27.49,-305.24,-192.98
R1,2,Commercial,JESA,G14,11.65,27.6,20.67,79.33,0.66,0.74,0.36,90.77,0.21,44.38,-16.09,24.01,-10.61,28.74,-386.32,-304.93
R1,2,Landrace,KABHUTSU,G15,19.34,16.5,7.04,92.96,0.42,0.52,0.35,72.95,0.22,42.26,-10.47,23.21,-3.51,26.5,-243.01,-93.02
R1,2,Landrace,KASAWAYA,G16,27.41,35.3,11.43,88.57,0.66,0.91,0.33,85.55,0.39,44.98,-21.54,35.69,-14.33,39.31,-768.76,-563.31
R1,2,Landrace,MAKULU_RED,G17,19.28,36,9.09,90.91,0.63,0.78,0.36,87.71,0.24,45.56,-17.06,26.96,-10.95,31.82,-459.94,-348.43
R1,2,Landrace,MATATU_MATATU,G18,20,29,0.15,99.85,0.63,0.79,0.38,86.26,0.2,45.9,-14.87,24.28,-8.96,29.12,-361.04,-260.92
R1,2,Landrace,MUNZUNGU_MUNEMARI,G19,26.72,22,1.1,98.9,0.47,0.65,0.36,72.11,0.26,44.02,-11.63,26.67,-3.85,30.15,-310.17,-116.08
R1,2,Landrace,MURAMBATSVINA,G20,32.1,28,8.67,91.33,0.38,0.56,0.35,76.81,0.2,41.8,-10.79,21.63,-4.48,25.04,-233.39,-112.18
R1,2,Landrace,MUROMO_WEHOTO,G21,16.43,22,1.52,98.48,0.52,0.62,0.36,78.17,0.22,43.74,-12.4,24.19,-5.71,28.08,-299.96,-160.34
R1,2,Commercial,NJIVA,G22,27.49,25.5,1.54,98.46,0.46,0.63,0.37,76.96,0.25,44.94,-13.18,26.56,-5.95,30.6,-350.06,-182.07
R1,2,Landrace,NYATSINGA,G23,18.65,29.5,51.41,48.59,0.41,0.51,0.38,81.2,0.17,44.93,-11.48,20.88,-5.66,25.13,-239.7,-142.24
R1,2,Landrace,TUMBE,G24,23.49,17,0.35,99.65,0.62,0.82,0.34,84.96,0.31,44.24,-18.2,30.53,-11.36,34.58,-555.65,-392.83
R2,1,Landrace,AQUA,G1,21.69,38.9,41.32,58.68,0.6,0.76,0.34,84.64,0.37,44.98,-20.41,34.47,-13.17,38.23,-703.53,-503.49
R2,1,Landrace,BOBWHITE,G2,5.66,28,63.71,36.29,0.92,0.97,0.34,92.25,0.42,48.01,-27.76,39.81,-21.39,44.56,-1105.13,-953.14
R2,1,Landrace,CHIGUNWE,G3,13.8,29,1.29,98.71,0.57,0.67,0.41,78.68,0.22,49.1,-13.56,26.14,-6.56,31.33,-354.46,-205.52
R2,1,Landrace,CHIZAMBIA,G4,10.58,15,0.22,99.78,0.88,0.98,0.37,90.24,0.33,48.83,-23.53,35.24,-17.08,40.77,-829.2,-696.35
R2,1,Commercial,DENDERA,G5,7.37,35,0.77,99.23,0.84,0.91,0.41,90.53,0.29,52.38,-22.88,34.08,-16.6,40.89,-779.75,-678.77
R2,1,Commercial,GUINEAFOWL,G6,13.39,29,0.81,99.19,0.82,0.94,0.34,92.59,0.36,45.87,-24.54,35.03,-18.34,39.73,-859.64,-728.65
R2,1,Landrace,GURA_KUKUMBIRA,G7,16.14,17,0.3,99.7,0.8,0.95,0.32,85.14,0.39,44.04,-21.08,35.25,-13.84,38.54,-743.07,-533.39
R2,1,Pre-release,ICGV-SM-15576,G8,4.53,22.3,0.42,99.58,0.93,0.98,0.36,96.49,0.34,49.37,-27.53,36.54,-21.92,42.69,-1005.95,-935.76
R2,1,Pre-release,ICGV-SM-15592,G9,14.6,16.5,0.51,99.49,0.82,0.96,0.38,85.67,0.43,52.26,-26,42.92,-18.44,48.16,-1115.92,-888.07
