Stage,Replication,Groups,Genotypes,Genotype,CSI,Severity_score,Severity_pix,Healthy_pix,GGA,GA,Intensity,Hue,Saturation,Lightness,a*,b*,u*,v*,ab,uv
R2,2,Landrace,KASAWAYA,G16,9.96,38.5,18.36,81.64,0.87,0.96,0.37,91.21,0.39,50.44,-26.9,39.44,-20.44,45.13,-1060.94,-922.46
R2,2,Landrace,MAKULU_RED,G17,16.66,40,4.27,95.73,0.53,0.63,0.38,73.02,0.22,45.21,-10.99,24.28,-3.78,28.25,-266.84,-106.79
R2,2,Landrace,MATATU_MATATU,G18,4.4,27.8,0.31,99.69,0.94,0.99,0.37,95.73,0.38,51.39,-29.76,40,-24.03,46.43,-1190.4,-1115.71
R2,2,Landrace,MUNZUNGU_MUNEMARI,G19,13.02,26,1.02,98.98,0.67,0.77,0.38,82.4,0.31,48.57,-18.45,32.8,-11.04,37.83,-605.16,-417.64
R2,2,Landrace,MURAMBATSVINA,G20,24.67,37,3.57,96.43,0.59,0.79,0.38,84.01,0.28,48.52,-17.97,30.79,-11,36.07,-553.3,-396.77
R2,2,Landrace,MUROMO_WEHOTO,G21,11.53,26,2.73,97.27,0.68,0.77,0.46,82.21,0.2,54.73,-15.6,27.75,-8.75,34.47,-432.9,-301.61
R2,2,Commercial,NJIVA,G22,9.38,27.8,1.64,98.36,0.72,0.8,0.32,89.92,0.29,41.64,-18.7,28.18,-12.61,31.97,-526.97,-403.14
R2,2,Landrace,NYATSINGA,G23,18.05,31.3,44.59,55.41,0.53,0.64,0.39,81.55,0.2,46.89,-13.48,24.31,-7.1,29.13,-327.7,-206.82
R2,2,Landrace,TUMBE,G24,7.56,17.6,0.35,99.65,0.78,0.84,0.43,96.19,0.14,51.18,-15.66,21.6,-11.07,27.77,-338.26,-307.41
R4,1,Landrace,AQUA,G1,14.59,42,55.27,44.73,0.63,0.74,0.39,82.78,0.34,50.03,-20.24,35.71,-12.6,40.94,-722.77,-515.84
R4,1,Landrace,BOBWHITE,G2,14.93,28,81.21,18.79,0.82,0.97,0.38,86.29,0.46,52.81,-27.66,45.03,-20.17,50.14,-1245.53,-1011.32
R4,1,Landrace,CHIGUNWE,G3,14.2,26.5,3.06,96.94,0.85,0.99,0.41,84.58,0.46,56.24,-27.96,47.39,-20,53.26,-1325.02,-1065.2
R4,1,Landrace,CHIZAMBIA,G4,11.85,21,0.48,99.52,0.82,0.93,0.35,87.7,0.37,47.27,-23.06,36.41,-16.14,41,-839.61,-661.74
R4,1,Commercial,DENDERA,G5,12.05,38,5.32,94.68,0.83,0.94,0.39,85.48,0.37,52.42,-23.78,39.46,-16.33,45.31,-938.36,-739.91
R4,1,Commercial,GUINEAFOWL,G6,11.07,31,0.59,99.41,0.87,0.98,0.39,86.94,0.42,53,-26.69,42.86,-19.38,48.55,-1143.93,-940.9
R4,1,Landrace,GURA_KUKUMBIRA,G7,7.72,27.2,0.02,99.98,0.91,0.99,0.39,88.77,0.37,51.86,-25.49,39.32,-18.64,45.32,-1002.27,-844.76
R4,1,Pre-release,ICGV-SM-15576,G8,12.77,25.6,0.22,99.78,0.86,0.99,0.36,87.73,0.43,50.15,-26.37,41.58,-19.25,46.43,-1096.46,-893.78
R4,1,Pre-release,ICGV-SM-15592,G9,12.74,18.1,0.36,99.64,0.84,0.96,0.35,86.82,0.4,47.84,-23.57,37.96,-16.43,42.43,-894.72,-697.12
R4,1,Pre-release,ICGV-SM-15631,G10,13.1,23.5,5.42,94.58,0.84,0.97,0.38,86.67,0.42,52.07,-26.23,42.38,-18.88,47.75,-1111.63,-901.52
R4,1,Pre-release,ICGV-SM-16637,G11,12.26,45.5,5.63,94.37,0.83,0.95,0.34,87.25,0.42,46.44,-23.9,38.1,-16.81,42.02,-910.59,-706.36
R4,1,Pre-release,IGGV-SM-15588,G12,6.58,29.3,0.14,99.86,0.92,0.98,0.35,91.6,0.39,48.48,-26.23,38.19,-19.83,43.33,-1001.72,-859.23
R4,1,Commercial,ILLANDA,G13,10.6,45.5,0.62,99.38,0.49,0.55,0.43,65.01,0.17,50.09,-8.26,21.88,-0.81,26.48,-180.73,-21.45
R4,1,Commercial,JESA,G14,6.72,30.1,3.72,96.28,0.86,0.92,0.4,92.23,0.33,53.44,-26.46,38.04,-20.27,45.09,-1006.54,-913.97
R4,1,Landrace,KABHUTSU,G15,8.5,25,0.92,99.08,0.88,0.96,0.34,88.11,0.38,46.57,-23.24,36.37,-16.37,40.73,-845.24,-666.75
R4,1,Landrace,KASAWAYA,G16,11.26,39,21.08,78.92,0.51,0.58,0.4,82.16,0.21,48.93,-14.63,26.06,-8.04,31.42,-381.26,-252.62
R4,1,Landrace,MAKULU_RED,G17,18.09,42,35.62,64.38,0.77,0.94,0.39,87.12,0.35,51.19,-23.38,37.38,-16.34,43.22,-873.94,-706.21
R4,1,Landrace,MATATU_MATATU,G18,9.25,40.1,23,77,0.9,0.99,0.36,88.2,0.45,50.5,-27.3,42.6,-20.23,47.44,-1162.98,-959.71
R4,1,Landrace,MUNZUNGU_MUNEMARI,G19,9.28,28.5,0.25,99.75,0.9,0.99,0.33,90.21,0.44,47.33,-26.97,40.35,-20.25,44.49,-1088.24,-900.92
R4,1,Landrace,MURAMBATSVINA,G20,24.67,39,3.37,96.63,0.59,0.79,0.38,84.01,0.28,48.52,-17.97,30.79,-11,36.07,-553.3,-396.77
R4,1,Landrace,MUROMO_WEHOTO,G21,10.56,28,3.59,96.41,0.88,0.98,0.36,87.15,0.42,49.08,-25.09,40.08,-17.91,44.71,-1005.61,-800.76
R4,1,Commercial,NJIVA,G22,10.04,30.3,12.71,87.29,0.89,0.99,0.37,90.2,0.41,51.73,-27.85,41.66,-21.18,47.4,-1160.23,-1003.93
R4,1,Landrace,NYATSINGA,G23,15.87,32.6,2.78,97.22,0.8,0.95,0.34,91.34,0.41,47.08,-26.53,38.79,-20.04,43.25,-1029.1,-866.73
R4,1,Landrace,TUMBE,G24,10.59,21.3,0.5,99.5,0.87,0.97,0.4,84.94,0.47,55.09,-27.75,46.63,-19.9,52.21,-1293.98,-1038.98
R4,2,Landrace,AQUA,G1,16.48,43,23.04,76.96,0.59,0.7,0.38,79.84,0.26,46.88,-15.11,28.47,-7.89,33.12,-430.18,-261.32
R4,2,Landrace,BOBWHITE,G2,12.28,30,14.64,85.36,0.62,0.71,0.38,81.62,0.25,46.84,-15.44,27.85,-8.53,32.63,-430,-278.33
R4,2,Landrace,CHIGUNWE,G3,14.17,28,25.51,74.49,0.79,0.92,0.35,86.47,0.42,48.48,-24.46,39.69,-17.18,44.07,-970.82,-757.12
R4,2,Landrace,CHIZAMBIA,G4,11.21,23,0.24,99.76,0.75,0.85,0.35,92.47,0.29,45.67,-21.55,30.88,-15.61,35.92,-665.46,-560.71
R4,2,Commercial,DENDERA,G5,8.73,39,2.75,97.25,0.89,0.97,0.36,91.2,0.4,50.36,-27.55,40.38,-21.06,45.89,-1112.47,-966.44
R4,2,Commercial,GUINEAFOWL,G6,11.07,30,0.78,99.22,0.87,0.98,0.39,86.94,0.42,53,-26.69,42.86,-19.38,48.55,-1143.93,-940.9
R4,2,Landrace,GURA_KUKUMBIRA,G7,9.8,27,0.48,99.52,0.79,0.87,0.37,87.48,0.32,48.56,-21.26,33.73,-14.5,39.09,-717.1,-566.81
R4,2,Pre-release,ICGV-SM-15576,G8,10.3,27,0.24,99.76,0.84,0.94,0.34,90.92,0.37,46.04,-24.27,35.81,-17.83,40.31,-869.11,-718.73
R4,2,Pre-release,ICGV-SM-15592,G9,14.92,19,3.41,96.59,0.65,0.76,0.36,79.95,0.32,45.8,-16.62,31.36,-9.05,35.45,-521.2,-320.82
R4,2,Pre-release,ICGV-SM-15631,G10,13.1,23,9.67,90.33,0.84,0.97,0.38,86.67,0.42,52.07,-26.23,42.38,-18.88,47.75,-1111.63,-901.52
R4,2,Pre-release,ICGV-SM-16637,G11,12.06,46,6.92,93.08,0.84,0.96,0.36,88.95,0.42,50.51,-26.87,41.28,-19.97,46.46,-1109.19,-927.81
R4,2,Pre-release,IGGV-SM-15588,G12,6.58,30.1,52.87,47.13,0.92,0.98,0.35,91.6,0.39,48.48,-26.23,38.19,-19.83,43.33,-1001.72,-859.23
R4,2,Commercial,ILLANDA,G13,16.71,46,16.12,83.88,0.61,0.73,0.37,85.4,0.24,45.57,-16.17,26.82,-9.82,31.54,-433.68,-309.72
R4,2,Commercial,JESA,G14,11.04,31,18.89,81.11,0.74,0.83,0.39,85.53,0.27,48.56,-18.17,30.08,-11.48,35.52,-546.55,-407.77
R4,2,Landrace,KABHUTSU,G15,6.56,23,6.58,93.42,0.8,0.86,0.39,91.62,0.26,50.1,-21.09,30.79,-15.15,37.1,-649.36,-562.07
R4,2,Landrace,KASAWAYA,G16,10.41,41,37,63,0.87,0.97,0.37,87.36,0.4,51.06,-25.48,40.48,-18.34,45.86,-1031.43,-841.07
R4,2,Landrace,MAKULU_RED,G17,9.19,43,6.06,93.94,0.55,0.61,0.4,78.9,0.23,48.32,-13.78,26.4,-6.77,31.42,-363.79,-212.71
R4,2,Landrace,MATATU_MATATU,G18,12.38,43,0.26,99.74,0.8,0.92,0.35,92.29,0.26,44.4,-19.25,27.78,-13.51,32.58,-534.77,-440.16
R4,2,Landrace,MUNZUNGU_MUNEMARI,G19,12.35,30,2.17,97.83,0.68,0.78,0.38,83.47,0.33,49.08,-20.01,34.71,-12.58,39.8,-694.55,-500.68
R4,2,Landrace,MURAMBATSVINA,G20,17.1,32,8.25,91.75,0.47,0.57,0.43,80.51,0.18,50.25,-12.76,23.48,-6.41,28.92,-299.6,-185.38
R4,2,Landrace,MUROMO_WEHOTO,G21,8.96,29.5,8.52,91.48,0.68,0.75,0.39,80.89,0.27,48.61,-16.3,29.94,-9.01,35.07,-488.02,-315.98
R4,2,Commercial,NJIVA,G22,9.85,40.1,0.89,99.11,0.84,0.93,0.39,92.55,0.28,50.78,-22.98,32.92,-17.03,39.45,-756.5,-671.83
R4,2,Landrace,NYATSINGA,G23,17.85,32.5,1.14,98.86,0.78,0.94,0.36,83.11,0.43,48.71,-22.94,40.29,-15.04,44.29,-924.25,-666.12
