Stage,Replication,Groups,Genotypes,Genotype,CSI,Severity_score,Severity_pix,Healthy_pix,GGA,GA,Intensity,Hue,Saturation,Lightness,a*,b*,u*,v*,ab,uv
R7,2,Landrace,GURA_KUKUMBIRA,G7,16.37,34.5,0.83,99.17,0.63,0.75,0.4,83.59,0.23,49.43,-15.91,27.46,-9.29,33.04,-436.89,-306.94
R7,2,Pre-release,ICGV-SM-15576,G8,16.16,37,0.13,99.87,0.48,0.57,0.46,70.96,0.19,53.74,-11.08,25.6,-3.23,31.34,-283.65,-101.23
R7,2,Pre-release,ICGV-SM-15592,G9,3.69,31,2.36,97.64,0.77,0.79,0.36,100.8,0.23,46.45,-22.38,27.76,-17.59,33.71,-621.27,-592.96
R7,2,Pre-release,ICGV-SM-15631,G10,16.16,33.8,11.44,88.56,0.62,0.74,0.39,80.81,0.19,46.34,-12.61,23.15,-6.35,27.77,-291.92,-176.34
R7,2,Pre-release,ICGV-SM-16637,G11,18.73,66.7,6.77,93.23,0.28,0.44,0.44,54.76,0.24,51.94,-6.81,27.89,3.67,32.27,-189.93,118.43
R7,2,Pre-release,IGGV-SM-15588,G12,11.36,38.9,41.29,58.71,0.72,0.81,0.35,86.15,0.21,42.97,-14.05,23.02,-8.27,27.15,-323.43,-224.53
R7,2,Commercial,ILLANDA,G13,6.06,51,0.57,99.43,0.73,0.78,0.4,94.34,0.23,49.9,-20.88,29.01,-15.42,35.46,-605.73,-546.79
R7,2,Commercial,JESA,G14,29.02,39,11.14,88.86,0.41,0.58,0.41,64.53,0.25,48.92,-9.76,27.88,-0.69,32.12,-272.11,-22.16
R7,2,Landrace,KABHUTSU,G15,9.97,42,3.74,96.26,0.62,0.69,0.42,85.67,0.27,52.56,-19.69,32.48,-12.79,38.98,-639.53,-498.55
R7,2,Landrace,KASAWAYA,G16,21.09,51,36.26,63.74,0.53,0.67,0.47,74.52,0.21,55.81,-13.19,28.03,-5.25,34.5,-369.72,-181.13
R7,2,Landrace,MATATU_MATATU,G17,25.83,55.6,28.54,71.46,0.45,0.61,0.47,68.74,0.2,55.08,-10.91,26.84,-2.48,32.77,-292.82,-81.27
R7,2,Landrace,MUNZUNGU_MUNEMARI,G18,17.69,47,0.25,99.75,0.52,0.64,0.41,74.88,0.25,49.42,-13.32,28.26,-5.48,33.27,-376.42,-182.32
R7,2,Landrace,MURAMBATSVINA,G19,16.91,38.9,1.54,98.46,0.58,0.7,0.48,78.79,0.19,56.85,-14.01,26.87,-6.84,33.75,-376.45,-230.85
R7,2,Landrace,MUROMO_WEHOTO,G20,13.85,53,7.39,92.61,0.65,0.76,0.41,82.76,0.26,50.5,-17.24,30.3,-10.15,36.08,-522.37,-366.21
R7,2,Landrace,NJIVA,G21,45.84,54,7.58,92.42,0.32,0.59,0.42,63.3,0.32,50.84,-10.75,33.39,-0.13,37.51,-358.94,-4.88
R7,2,Commercial,NYATSINGA,G22,34.02,44.4,0.69,99.31,0.4,0.6,0.44,66.19,0.23,52.05,-10.24,27.35,-1.43,32.48,-280.06,-46.45
R7,2,Landrace,GUINEAFOWL,G23,12.4,54.6,59.41,40.59,0.55,0.63,0.48,74.66,0.26,58.06,-15.72,33.72,-6.77,40.77,-530.08,-276.01
R7,2,Landrace,MAKULU_RED,G24,25.44,43,1.16,98.84,0.32,0.43,0.44,56.5,0.24,51.64,-7.38,27.95,2.86,32.37,-206.27,92.58
