"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",7.81719721469557,60.1322862668889,60.1322862668889
"Dim.2",2.1084854315321,16.219118704093,76.351404970982
"Dim.3",1.4066048696653,10.8200374589639,87.1714424299459
"Dim.4",0.630094568663346,4.84688129741035,92.0183237273562
"Dim.5",0.417279454288189,3.20984195606299,95.2281656834192
"Dim.6",0.331075409334315,2.54673391795627,97.7748996013755
"Dim.7",0.204096380064736,1.56997215434412,99.3448717557196
"Dim.8",0.0581430388466853,0.447254144974502,99.7921259006941
"Dim.9",0.0167245870846022,0.128650669881555,99.9207765705757
"Dim.10",0.00880729938141168,0.0677484567800898,99.9885250273557
"Dim.11",0.00116762707374871,0.00898174672114388,99.9975067740769
"Dim.12",0.000230420657832088,0.00177246659870837,99.9992792406756
"Dim.13",9.3698712171872e-05,0.000720759324399015,100
